term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000070,mitotic sister chromatid segregation,0.000876028808246483,158,ATRX|NUMA1|AKAP8L|POGZ|BUB1|CENPF|KPNB1|PRC1|SMC5|NIPBL|TACC3|NCAPD2|ATM|CENPC|KIF14|KIFC1|SLF2|BUB1B|VPS4B|TNKS|APC|NDC80|RAD21|NCAPD3|CCNB1|KIF4A|NCAPH|PDS5B|HNRNPU|INCENP|NCAPG|CDC27|ANAPC4|TEX14|NSL1
GO:0000077,DNA damage checkpoint,0.0490386362354077,150,BRCA1|TICRR|MDC1|DOT1L|GIGYF2|ATM|INTS7|CNOT1|BLM|FANCD2|TAOK3|UIMC1|CDC5L|ZNF830|DTL|FBXO6|CCNB1|TAOK1|USP28|RPS27L|PIDD1|TOPBP1|ATR|THOC1|CDC14B|ATF2|E2F1|BRIP1|PPP1R10|E2F4
GO:0000086,G2/M transition of mitotic cell cycle,0.000378747887401036,260,BRCA1|DNM2|PCM1|TICRR|DCTN1|PCNT|NES|CENPF|CCP110|DYNC1H1|SIN3A|PPP1R12A|SMARCD3|ATM|CDC25A|MELK|AJUBA|KIF14|BLM|PSMB10|PSME4|CEP250|CNTRL|TAOK3|VPS4B|RAD21|ZNF830|DTL|CCNB1|TAOK1|CEP192|PSMA5|BTRC|BORA|PSMC4|APP|CLASP1|SKP1|TOPBP1|CUL1|CALM1|PSMC5|ODF2|PSMA8|CENPJ|TUBA4A|PSMB7|PSMD1|CKAP5|MECP2|FOXN3|PPP1CB
GO:0000122,negative regulation of transcription by RNA polymerase II,0.0092761781236432,875,ATRX|NCOR2|SKI|NCOR1|SPEN|DNMT1|SMARCA4|PRDM2|IRF2BP2|TRPS1|KDM5A|CUX2|BCOR|DDX5|HIPK2|CIC|ORC2|DICER1|SIN3A|EZH2|TRPV4|HCFC1|NIPBL|SORBS3|PAXBP1|ZBTB4|AR|HSPA1A|TCF3|RLIM|YEATS2|SIN3B|IRF2BPL|JARID2|SALL2|RFC1|SUPT5H|YBX3|ZBTB14|BPTF|ALX1|CNOT1|SIRT7|ZFHX3|ZNF692|MEPCE|RIF1|ZNF568|AJUBA|RFX5|EED|ARID1A|RREB1|SP100|SFPQ|NR2C2|ANKRD1|EHMT1|PCGF6|CHD3|PHF21A|NSD1|ZEB1|PHF12|SUZ12|PHF6|RARG|IRX5|FRK|ETS2|ZNF431|UBC|GATAD2B|SALL4|MED1|IRF2BP1|DRD3|DMAP1|ZNF345|STAT1|SATB2|ZBTB2|NKX6-1|RORC|EHMT2|TBL1XR1|ZNF281|SUV39H1|HOXB4|NEDD4L|NFATC2|CTNNB1|CC2D1A|RUNX1|ID3|RELA|TWIST1|HNRNPU|ZBTB1|STAT3|ZBTB16|ATF2|E2F1|EPC1|FOXO3|SARNP|ZBTB5|PPP1R13L|E2F4|ENO1|SOX15|NOTCH2|TBX21|MECP2|THRB|NCOA2|ZNF85|ARID5B|NR2F6|CDK6|CTBP2|CIR1
GO:0000212,meiotic spindle organization,0.0160901963802939,15,ATRX|ASPM|MYH9
GO:0000226,microtubule cytoskeleton organization,9.26849083534508e-16,594,ATRX|NUMA1|BRCA1|FSIP2|ASPM|MYH9|NCOR1|NAV1|MAP1A|DOCK7|ABL1|PCM1|DCTN1|CCDC88C|CCDC120|TUBA3D|PCNT|NIN|MAP6|SETD2|DST|KPNB1|CCP110|PRC1|KIF24|TBCE|DYNC1H1|SYNE2|MARK2|PPP1R12A|CAMSAP1|TRPV4|MID1|PKD2|CEP85|GJA1|HSPA1A|SMC3|TACC2|TACC3|MAPT|CAMSAP3|ARHGEF2|WDR62|MAP4|SLAIN2|KIF11|CEP350|BRCA2|SPRY2|FKBP4|CEP68|KIF3A|MAP2|KIFC1|MTCL1|PRKAA2|CHD3|CEP250|DCLK2|TUBA1B|HTT|GPSM2|MAP1S|XIAP|CLASP2|CNTLN|PHLDB1|VPS4B|TNKS|APC|STAG1|NDC80|CCNB1|TAOK1|CEP192|STMN1|KIAA0753|SON|SLK|BICD1|MAP9|KIF4A|BORA|RANBP9|CCDC8|PARP3|CLASP1|RASSF1|RPS3|MAPRE2|RSPH1|KIF2B|CEP295|MAP7D1|CALM1|CTNNB1|CCSAP|ODF2|CHORDC1|CENPJ|HNRNPU|INCENP|NCKAP5|CDC14B|BNIP2|CNTN2|TUBA4A|CLTC|CCDC88B|GAS2L1|E2F4|PARD3|SPIRE1|TPPP|GAPDH|CKAP5|MECP2|CEP97|CKAP2|NAV3|TUBGCP3|ATAT1
GO:0000280,nuclear division,6.19603491637374e-05,424,ATRX|NUMA1|MKI67|TOP2B|ASPM|AKAP8L|POGZ|BUB1|CENPF|KPNB1|CDK13|PRC1|WAPL|SMC5|SH2B1|NIPBL|CEP85|HSPA1A|SMC3|TACC3|NCAPD2|ATM|SIRT7|LRP5|KIF11|CENPC|KIF14|BRCA2|KIFC1|PHIP|FANCD2|TDRD9|SLF2|TAF1L|BUB1B|XIAP|CLASP2|VPS4B|TNKS|APC|STAG1|NDC80|RAD21|NCAPD3|CCNB1|CEP192|EPS8|FBXO43|DRD3|MAP9|KIF4A|NCAPH|BORA|CCDC8|CLASP1|TOM1L1|EHMT2|PDS5B|CCSAP|PSMA8|FANCA|HNRNPU|INCENP|CDC14B|PDE3A|NCAPG|BRIP1|CDC27|ANAPC4|SPIRE1|TEX14|NSL1
GO:0000819,sister chromatid segregation,1.1351954227123e-05,189,ATRX|NUMA1|TOP2B|AKAP8L|POGZ|BUB1|CENPF|KPNB1|PRC1|WAPL|SMC5|NIPBL|SMC3|TACC3|NCAPD2|ATM|CENPC|KIF14|SFPQ|KIFC1|SLF2|BUB1B|VPS4B|TNKS|AXIN2|APC|STAG1|NDC80|RAD21|NCAPD3|CCNB1
GO:0000904,cell morphogenesis involved in differentiation,0.000342341284101073,764,SPTBN1|TOP2B|MYCBP2|MYH9|MAP1A|DNM2|DNM1L|DOCK7|ABL1|CCDC88C|LRRK2|PXN|MYH10|CUX2|NIN|MAP6|PRKCA|SIPA1L1|ARHGAP44|ADARB1|SCRIB|RTN4|MARK2|NEDD9|SIN3A|NEO1|RAPGEF2|ARHGAP35|CELSR3|RAPH1|AR|KIF13B|MAPK7|MAPT|VCL|ULK2|DOCK5|ACTB|IRS2|FLNB|SRC|KIF14|ANKRD27|TANC2|LHX3|NTRK3|RREB1|KIF3A|GOLGA4|TIAM2|MAP2|KIF5C|DOCK1|SYNGAP1|WASL|SHC3|KIF1A|MAP1S|SEMA6D|BOC|COBL|FARP1|HSP90AB1|ADNP|DOK1|CSF1R|TRAK1|SPTAN1|STMN1|CRK|TMEM106B|PAK2|BMPR1B|GRB7|TRIO|ISLR2|RAB25|RANBP9|RET|APP|SPTA1|DPYSL5|PALLD|ACTBL2|ACTN4|NKX6-1|TNN|NRP1|MINK1|NUMB|FSTL4|NEDD4L|CTNNB1|ABI1|CTTN|PICALM|RERE
GO:0003012,muscle system process,0.00130558725053747,475,TLN1|DMD|UTRN|DSP|MYH3|MYH2|MYH14|MYH4|PXN|JUP|MYH6|HRC|PRKCA|NOS3|SCN5A|MYLK|MYH11|TRPM4|EZH2|NEB|EHD3|MYOF|SORBS3|RYR1|GJA1|ACTN2|JARID2|MYH13|ACTA2|VCL|MYBPC3|DOCK5|DOCK4|CACNA1H|KCNH2|ANK2|ATP2A2|INPP5F
GO:0003205,cardiac chamber development,0.011732259439703,173,DSP|DNM2|HECTD1|LUZP1|MYH10|MYH6|AP2B1|NOS3|SCN5A|SMARCD3|CHD7|MATR3|ZBTB14|MYBPC3|TGFBR2|ARID1A|ANK2|RYR2|UBE4B|TNNT2|TRIP11|MAML1|SALL4|MED1|RBM15|NRP1|HIF1A|JAG1|LTBP1|PTCD2|SAV1|STRA6|PPP1R13L|NOTCH2|NDST1
GO:0006259,DNA metabolic process,5.25814399204476e-07,956,ATRX|KMT2A|BRCA1|TOP2B|UBR5|ARID2|ABL1|TICRR|MDC1|RLF|DNMT1|CENPF|DOT1L|SETD2|NPLOC4|KPNB1|HUWE1|ORC2|DICER1|SMC5|SH2B1|EZH2|DDB1|SMG1|NFRKB|NIPBL|BOD1L1|GJA1|MAP3K4|CCT2|CHAF1A|SMC3|TCF3|MCM5|TOP1|SMG7|RFC1|ATM|DNAJC2|ATAD5|SIRT7|UPF1|SUPT6H|SUPT16H|SSRP1|RIF1|DCP2|SRC|TRIP12|BRCA2|BLM|ERCC6L2|PARP4|USP1|USP10|SP100|PSME4|SFPQ|PARN|FANCD2|ANKRD1|EHMT1|TNFSF4|TDRD9|SLF2|XRCC5|HELLS|USP43|POLA1|POLK|ZNF91|CIZ1|TAOK3|MAP1S|EMSY|HNRNPC|ERCC5|GTF2I|HSP90AB1|UIMC1|CHTF18|TNKS|AXIN2|CDC5L|INO80D|RAD21|ZNF830|DTL|FBXO6|RBM17|TAOK1|GINS4|USP28|DDX23|XRCC1|UBC
GO:0006260,DNA replication,0.000110316181066647,283,ATRX|BRCA1|BAZ1A|GLI1|TICRR|ORC2|WAPL|BRPF3|SIN3A|BOD1L1|CHAF1A|SMC3|MCM5|NASP|TOP1|RFC1|ATM|DNAJC2|ATAD5|SIRT7|UPF1|SUPT16H|SSRP1|ING5|BRCA2|BLM|POLA1|POLK|ANKRD17|CIZ1|USP37|GTPBP4|CHTF18|ZNF830|DTL|GINS4|DDX23|ESCO1|MCM4|MCM2|POLE3|EHMT2|TOPBP1|REPIN1|TOP1MT|CHAF1B|ATR|ID3|THOC1
GO:0006281,DNA repair,0.000450790971788681,568,ATRX|BRCA1|UBR5|ARID2|ABL1|TICRR|MDC1|DOT1L|SETD2|NPLOC4|HUWE1|SMC5|DDB1|SMG1|NFRKB|NIPBL|BOD1L1|CHAF1A|SMC3|MCM5|RFC1|ATM|SIRT7|UPF1|SUPT16H|SSRP1|RIF1|TRIP12|BRCA2|BLM|ERCC6L2|PARP4|USP1|USP10|PSME4|SFPQ|FANCD2|SLF2|XRCC5|USP43|POLA1|POLK|TAOK3|EMSY|ERCC5|GTF2I|UIMC1|AXIN2|CDC5L|INO80D|RAD21|ZNF830|DTL|FBXO6|RBM17|TAOK1|GINS4|USP28|XRCC1|UBC
GO:0006325,chromatin organization,1.88377842901496e-13,821,ATRX|KMT2D|KMT2A|KMT2B|MKI67|BRCA1|SKI|UBR5|NCOR1|BAZ1A|ZNF462|AKAP8L|ARID2|LRRK2|KAT6A|RLF|DNMT1|SMARCA4|KDM5A|SRCAP|DOT1L|SETD2|BCOR|KDM5B|PRKCA|PKN1|NCOA3|EP400|KANSL1|HUWE1|BRPF3|CHD4|BAZ1B|SIN3A|EZH2|DDB1|HCFC1|NIPBL|KMT2C|SMARCD3|PAXBP1|CHD7|CHAF1A|NASP|TOP1|YEATS2|SIN3B|HP1BP3|JARID2|BAZ2B|ARID4B|ATM|MLLT6|DNAJC2|BPTF|SMARCC1|ACTB|SPTY2D1|SIRT7|JMJD1C|SUPT6H|SUPT16H|KDM5C|SSRP1|ING5|RIF1|TAF5|CENPC|TRIP12|EED|ARID1A|BRCA2|SAFB|ASXL1|PSME4|SFPQ|CHD2|EHMT1|PCGF6|PRKAA2|SETD1B|CHD3|PHF21A|BRWD1|HELLS|TAF1L|NSD1|MAP1S|KDM3B|EMSY|HNRNPC|SUZ12|UIMC1|CABIN1
GO:0006338,chromatin remodeling,0.00264080453766447,220,ATRX|BAZ1A|DNMT1|SMARCA4|KDM5A|SRCAP|KDM5B|CHD4|BAZ1B|HCFC1|SMARCD3|CHD7|NASP|TOP1|JARID2|BAZ2B|BPTF|SMARCC1|ACTB|SPTY2D1|KDM5C|CENPC|ARID1A|PSME4|CHD3|HELLS|HNRNPC|PHF8|GATAD2B|DMAP1|SMARCD1|POLE3|SATB2|MPHOSPH8|PHF2
GO:0006396,RNA processing,8.26374011195267e-05,963,AHNAK2|NCOR2|SRRM2|ZNF638|NCOR1|AHNAK|PRPF8|HNRNPL|AKAP8L|ACIN1|PHRF1|SPEN|SSB|ZC3H7B|U2SURP|RBM27|DGCR8|CHERP|CDK13|UTP20|DDX5|ADARB1|PPIG|DICER1|PCF11|RBM19|RSL1D1|CHD7|HSPA1A|SCAF11|UTP14A|DDX54|SUPT5H|SNRNP200|MPHOSPH10|MDN1|DHX38|INTS7|THOC7|SIRT7|NOP2|CDK11B|ADAR|SUPT6H|SLU7|UTP18|GEMIN5|ZC3H7A|HSPA8|SAFB|PRPF38B|SRRM1|DROSHA|BCAS2|SFPQ|PARN|HNRNPM|RRP12|GPKOW|HNRNPA0|TARDBP|RBM7|MFAP1|ARL6IP4|PABPC4|ZNF326|DIS3|PES1|ESF1|HNRNPC|RBM39|GTPBP4|CDC5L|ZNF830|TRA2A|CCNB1|PELP1|FXR1|RBM17|DDX46|DDX23|PUS7|CTU2|EFTUD2|THADA|TRMT11|SON|WDR3|BICD1|DHX8|KTI12|SF3B3|TTF2|RBM15|DDX49|UTP15|CWC27|APP|NOLC1|CDKAL1|TRMT13|DDX41|PTBP2|SAFB2|LIN28B|INTS2|PSIP1|ERI2|METTL16|PPARGC1A|RPP38|SUV39H1|MTPAP|THOC1|TARBP2|PUF60|CTNNBL1|HNRNPU|TIA1|CSDC2|PTCD2|STAT3|TRIM71|NOL10|PABPC1|SRSF4|SARNP|U2AF2|TSR3|PAPOLA|MYCN|EIF4A3
