term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000070,mitotic sister chromatid segregation,0.0466367569537015,158,TPR|APC|SMC4|NIPBL|CHAMP1|KIF14|DCTN2|SMC1A|CHMP4C|PINX1|CDK5RAP2|CENPC|VPS4B|MAU2|CENPE|RACGAP1|TRIP13|PRC1|PTTG1|CDC23|DYNC1LI1|FBXO5|SPDL1|KIF2C|BUB1|MAP10|CDC27
GO:0000075,cell cycle checkpoint,0.0011757373131565,220,TP53|MDC1|TPR|BLM|RAD9A|GIGYF2|APC|TNKS1BP1|EP300|BRCA1|CHMP4C|TP53BP1|TIMELESS|CASP2|TOP2B|DOT1L|TICRR|PML|CDK5RAP2|CNOT2|DDX39B|ZNF830|CCND1|TRIP13|HRAS|FBXO6|DYNC1LI1|TOP2A|SPDL1|UIMC1|BCL2L1|CDC5L|BUB1|STK33|FOXO4|PTPN11|XPC|GTSE1|AURKA
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,0.00114592663448378,99,EGFR|CCND3|BLM|PTEN|ACTB|TNFAIP3|GTPBP4|APC|PKD2
GO:0000086,G2/M transition of mitotic cell cycle,0.0132606036729518,260,BLM|PCM1|DYNC1H1|CEP250|MELK|NES|SIN3A|KIF14|DCTN2|BRCA1|CHMP4C|PINX1|PPP1R12A|PPP1CB|TUBA4A|TICRR|MASTL|NINL|CDK5RAP2|VPS4B|HSP90AA1|DNM2|PSMB2|ZNF830|CCND1|RBX1|CKAP5|CALM1|CCNB2|SDCCAG8|FBXO5|PPME1|ODF2|STOX1
GO:0000122,negative regulation of transcription by RNA polymerase II,3.06035439414159e-10,875,CTNNB1|TP53|EZH2|FOXO1|NCOR2|HIVEP1|SPEN|RIF1|CCND3|BCOR|SFPQ|TPR|NOTCH1|STAT3|SP100|USP2|NKAP|FNIP1|CIC|XPO1|FGFR1|CTCF|DDX20|IRF2BP2|DNMT1|PARP15|ZNF217|CHD8|SMARCC2|ZFPM2|IRF2BPL|STAT1|ZNF451|NIPBL|BHLHE40|RELA|ZNF254|SUZ12|SIN3A|DAB2|HDAC7|ZFHX2|EP300|SRF|PHB|TIMELESS|PRDM16|NRIP1|PAF1|NFATC4|ZNF140|ARID5B|RARA|ZNF133|FST|PPP1R13L|RTF1|HDAC4|HEXIM1|NOTCH2|ZBTB42|ZNF219|CEBPA|HMG20A|NR1I2|CNOT2|HBP1|MLXIPL|PDX1|RBBP7|BMI1|KLF3|RPS27A|PER2|GATAD2A|SP3|ZNF296|PARP1|PRDM1|ZNF608|CCND1|PAX5|ZBTB21|SUPT5H|UBE2D3|CRYM|ESRRA|SP5|C1QBP|SMAD3|ELK3|ID3|ZFPM1
GO:0000165,MAPK cascade,0.0148246272559033,950,CTNNB1|BRAF|EZH2|NRAS|FOXO1|EGFR|MINK1|MAP2K1|SPTBN2|ERBB2|NOTCH1|SASH1
GO:0000226,microtubule cytoskeleton organization,4.62061866657931e-07,594,CTNNB1|NAV3|FLNA|TPR|BRCA2|CAMSAP3|MYH9|XPO1|APC|PKD2|CLASP2|PCM1|RNF19A|DYNC1H1|CRMP1|CEP250|KIF2B|HSPA1B|NAV1|MAP1B|EML4|SLK|DCTN2|BRCA1|SMC1A|CHMP4C|SMC3|PEX14|WDR62|PPP1R12A|SETD2|TUBA4A|NINL|HTT|CUL7|CDK5RAP2|KIF11|RP1|SIK3|TUBA3C|VPS4B|VCP|FES|GCC2|PHLDB1|LLGL2|CENPE|ARHGEF10|DISC1|MAPT|RACGAP1|INPP5J|HOOK3|PRC1|LLGL1|CKAP5|CALM1|TTLL3|MAP7D3|SDCCAG8|DYNC1LI1|FBXO5|GJA1|SPDL1|SLC16A1|ODF2|GAS2L2|NSFL1C|MAP7D2|TACC1|NEFH|KIF2C|STIL|SPIRE2|MAP7D1|CEP350|KIF20A|EFHC1|ARHGEF2|RTTN|MAP10
GO:0000280,nuclear division,0.0135586762137712,424,FLNA|TPR|BRCA2|FANCM|ANLN|APC|CLASP2|SMC4|MKI67|NIPBL|CHAMP1|HSPA1B|KIF14|DCTN2|SMC1A|CHMP4C|SMC3|KIF20B|PINX1|TOP2B|INSR|MASTL|CUL7|CDK5RAP2|KIF11|CENPC|CDK13|VPS4B|BAG6|MAU2|CENPE|ARHGEF10|RACGAP1|TRIP13|PRC1|PTTG1|CDC23|CCNE1|DYNC1LI1|TOP2A|FBXO5|SPDL1|TERF1|NSFL1C|ACTR2|KIF2C|USP16|SPIRE2|RAD51|BUB1|MSH4|MAP10|CDC27|ERCC4|BCCIP|WAPL|RMI1|AURKA
GO:0000819,sister chromatid segregation,7.42673050007952e-05,189,CTNNB1|SFPQ|TPR|CTCF|APC|SMC4|NIPBL|CHAMP1|ESCO1|KIF14|DCTN2|SMC1A|CHMP4C|SMC3|PINX1|TOP2B|CDK5RAP2|CENPC|VPS4B|MAU2|CENPE|RACGAP1|TRIP13|PRC1|PTTG1|CDC23|FBXW7|DYNC1LI1|TOP2A|FBXO5|SPDL1
GO:0000904,cell morphogenesis involved in differentiation,1.1693402077729e-06,764,CTNNB1|BRAF|MINK1|MAP2K1|SPTBN2|CTNND2|ACTN4|FLNA|ERBB2|NOTCH1|ADNP|DNM1L|RPS6KA5|SHANK1|SCRIB|PIK3R1|TRIO|PTEN|ACTB|MYH9|KIDINS220|MAPK8IP3|HSP90AB1|AFG3L2|CRMP1|SPTAN1|FLNB|STK11|DOCK1|GAP43|SIN3A|MAP1B|KIF14|EP300|SRF|HEG1|DAB1|PEAK1|TRIOBP|PAK2|TOP2B|SPTB|KIF13B|NFATC4|VPS33A|CUL7|MAPK1|NOTCH2|HSP90AA1|ARHGAP35|NTRK3|ACTN1|DNM2|ALS2|SPTBN1|PLCG1|PIK3CB|DISC1|MAPT|RAC2|UNK|SRC|LRRK2|DLG4|FEZ1|WDR1|C1QBP|LLGL1|PTPN6|ZFPM1|SEMA4C|RREB1|RTN4|FGG|CXCL12|VCL|RAPGEF2|NUMBL|RAC3|STXBP1|APOE|PTPRO|ACTR2|OPHN1|CORO1C|DCDC2|FRS2|MICALL2|NEFH|ARHGAP44
GO:0001701,in utero embryonic development,9.70072215529905e-08,369,CTNNB1|TP53|EGFR|TFEB|MAP2K1|BCOR|NOTCH1|KRT8|BRCA2|NCOA1|MYH9|FGFR1|KIDINS220|AKAP3|PKD2|MAPK8IP3|PALB2|CHD8|ZFPM2|SIN3A|ZFP14|CASP8|MYH6|SRF|HEG1|NOS3|SENP2|RBBP6|SETD2|APOB|C6|TET1|RTF1|MAPK1|NOTCH2|CEBPA|NRK|SLC35E2B|CNOT2
GO:0006259,DNA metabolic process,9.79379818364755e-06,956,CTNNB1|TP53|EZH2|EGFR|HUWE1|RIF1|MDC1|BOD1L1|SFPQ|SP100|KMT2A|DDX1|BLM|BRCA2|COPS6|RAD9A|FANCM|CTCF|RNF169|DNMT1|PALB2|HSP90AB1|TNKS1BP1|TERF2IP|NIPBL|POLD2|RLF|TP73|BARD1|EP300|EMSY|CIZ1|SUPT16H|BRCA1|SMC1A|TP53BP1|SMC3|GSK3A|POLR2B|PHB|TIMELESS|PINX1|TOP2B|MCM2|SETD2|DOT1L|TICRR|MCM9|PARP2|TET1|PML|MAPK1|RAG2|TRIP12|HSP90AA1|MCM4|DHX9|PARK7|VCP|SPIDR|DDX39B|RPS27A|ZNF93|TNFSF4|ZNF830|EXD2|GNL3L|INO80D|GATAD2A|NAT10|GTF2I|PARP1|TRIP13|SRC|TOP1|USP10|UBE2D3|ERCC1|RBX1|PIWIL4|POLI|PTTG1|RNASEH2A|TMEM161A|FBXO6|SMARCAD1|CCNE1|CD40|TOP2A|GJA1|TERF1|UIMC1|USP1|STOX1|HNRNPA1|CDC5L|TNP1|PRKCD|ZBED9|ACTR2
GO:0006260,DNA replication,4.66839782572152e-05,283,TP53|EGFR|BOD1L1|BLM|BRCA2|RAD9A|FANCM|FGFR1|GTPBP4|POLD2|BARD1|ESCO1|SIN3A|CIZ1|SUPT16H|BRCA1|SMC3|TIMELESS|MCM2|SENP2|RBBP6|TICRR|MCM9|MCM4|BAZ1A|DHX9|RBBP7|ZNF830|EXD2|ANKRD17|TOP1|HRAS|POLI|ID3|RNASEH2A|CDK2AP1|CCNE1|FAF1|FBXO5|TERF1
