term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000070,mitotic sister chromatid segregation,8.09976300421236e-05,158,ATM|TPR|NCAPD3|CENPF|NDC80|BUB1|CHMP7|DCTN2|KIF18A|CHAMP1|ANAPC7|NCAPD2|WRAP73|GEN1|SMC5|NCAPG|MAD2L2|KIF23|ANAPC1|PIBF1|RMDN1|HNRNPU|TRIP13|BUB1B|APC
GO:0000086,G2/M transition of mitotic cell cycle,0.000244157762127327,260,ATM|CKAP5|BLM|CENPF|PCM1|SIN3A|ODF2|DNM2|CENPJ|CNTRL|USP47|DCTN2|CEP131|DCTN1|FBXL17|PRKACA|MARK4|PCNT|NBN|PSMD5|CEP135|BRCA1|PAFAH1B1|PSMB2|PKMYT1|PLK4|TUBB|PSMB6|CDC25B|CALM1|CALM2
GO:0000226,microtubule cytoskeleton organization,5.19141221791402e-06,594,CTNNB1|TPR|MYH9|CEP295|BRCA2|CEP350|CKAP5|ASPM|FKBP4|KIF20A|NDC80|ROCK1|PCM1|BCAS3|MLH1|ARMC4|ODF2|CENPJ|DCTN2|KIF18A|RHOA|CKAP2|IFT172|SYNE2|CEP131|FER|DCTN1|BICD1|TTLL5|KIAA0753|MARK4|WRAP73|GEN1|SPATA7|NIN|PCNT|CLTC|CUL9|KIF23|ROCK2|CEP135|BRCA1|PAFAH1B1|DRG1|PIBF1|RTTN|PLK4|RMDN1|TUBB|TUBGCP2|HNRNPU|MZT1|CEP97|CALM1|SSX2IP|CALM2
GO:0000280,nuclear division,0.000212144761765623,424,ATM|TPR|BRCA2|MKI67|NCAPD3|ASPM|CENPF|NDC80|BUB1|MLH1|CHMP7|NFE2L1|MTBP|DCTN2|KIF18A|RHOA|CHAMP1|CDK13|ANAPC7|NCAPD2|WRAP73|GEN1|SMC5|NCAPG|CUL9|MAD2L2|WAPL|ERCC4|KIF23|EHMT2|ANLN|DRG1|ANAPC1|PIBF1|PKMYT1|RMDN1|HSF1|CDC25B|HNRNPU|MZT1|CEP97|TRIP13|BUB1B|APC
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.034111090753144,77,SKIV2L|PAN3|MLH1|DCP1A|CNOT2|PARN|AGO2|DHX36|EXOSC2|EDC3|POLR2G
GO:0000302,response to reactive oxygen species,0.0225992321678997,238,EZH2|AKT1|EGFR|STAT1|SETX|EEF2|HNRNPD|DNM2|PRKCD|ADAM9|FER|PPARGC1A|PPP5C|PTK2B|ADA|STK24|MTR|HDAC2
GO:0000375,"RNA splicing, via transesterification reactions",0.0274072903610026,361,SF3B1|SRSF7|SETX|DHX15|SCAF11|NCL|XAB2|HNRNPA2B1|MBNL1|HNRNPD|PRPF8|DDX20|CDK13|PPWD1|RBM25|SNUPN|GEMIN5|POLR2G|FMR1|FIP1L1|WDR83|DDX39B|PSPC1|SYNCRIP|GTF2F2|COIL|SNRPA|RBM23|DDX41|HNRNPU|RBM15|PRMT7|SRPK3|CHERP|SART1|DHX35|PRPF6
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.0225277633271107,358,SF3B1|SRSF7|SETX|DHX15|SCAF11|NCL|XAB2|HNRNPA2B1|MBNL1|HNRNPD|PRPF8|DDX20|CDK13|PPWD1|RBM25|SNUPN|GEMIN5|POLR2G|FMR1|FIP1L1|WDR83|DDX39B|PSPC1|SYNCRIP|GTF2F2|COIL|SNRPA|RBM23|DDX41|HNRNPU|RBM15|PRMT7|SRPK3|CHERP|SART1|DHX35|PRPF6
GO:0000398,"mRNA splicing, via spliceosome",0.0225277633271107,358,SF3B1|SRSF7|SETX|DHX15|SCAF11|NCL|XAB2|HNRNPA2B1|MBNL1|HNRNPD|PRPF8|DDX20|CDK13|PPWD1|RBM25|SNUPN|GEMIN5|POLR2G|FMR1|FIP1L1|WDR83|DDX39B|PSPC1|SYNCRIP|GTF2F2|COIL|SNRPA|RBM23|DDX41|HNRNPU|RBM15|PRMT7|SRPK3|CHERP|SART1|DHX35|PRPF6
GO:0000723,telomere maintenance,5.96737066932682e-05,163,CTNNB1|ATM|BRCA2|BLM|RPA1|ERCC1|HNRNPA2B1|CCT7|HNRNPD|GNL3|PARN|XRCC6|TEP1|DHX36|CCT4|SMC5|ERCC4|NBN|RFC1|POLA1
GO:0000819,sister chromatid segregation,1.91043663514402e-05,189,CTNNB1|ATM|TPR|NCAPD3|CENPF|NDC80|BUB1|CHMP7|DCTN2|KIF18A|CHAMP1|ANAPC7|NCAPD2|WRAP73|GEN1|SMC5|NCAPG|MAD2L2|WAPL|ESCO2|KIF23|ANAPC1|PIBF1|RMDN1|HNRNPU|TRIP13|BUB1B|APC|FEN1
GO:0000910,cytokinesis,0.00993690374416028,175,AHCTF1|MYH9|BRCA2|KIF20A|ROCK1|BIRC6|ANXA11|CHMP7|RHOA|CKAP2|ARL3|GIPC1|KIF23|ROCK2|ANLN|PLK4|SPTBN1|CDC25B|SNX33|RTKN|CALM1|CALM2|APC
GO:0001701,in utero embryonic development,0.00279994334790735,369,AKT1|CTNNB1|BCOR|EGFR|MYH9|BRCA2|CHD8|XAB2|MAP2K1|BIRC6|MBNL1|SIN3A|NOTCH2|TJP1|CNOT2|FGFR1|OCRL
