term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000077,DNA damage checkpoint,0.0312987104453868,150,PTPN11|BRCA1|TP53|CHEK2
GO:0000082,G1/S transition of mitotic cell cycle,0.0275054715643256,283,PTEN|CCND2|TP53|CHEK2|CDK4|KMT2E|DDX3X|RB1|KIF14|EP300|CAMK2A|CAMK2G|ATM|APPL1|RIPK1|ACVR1|CUL4B|EGFR|INO80|PKD1|RDX|CDT1|KANK2|GFI1B
GO:0000086,G2/M transition of mitotic cell cycle,0.00467472065411883,260,BRCA1|CHEK2|DNM2|DYNC1H1|APP|MECP2|CALM2|TUBA1A|PPP1CB|CDK4|YWHAG|DYNC1I2|KIF14|CEP41|TUBB4A|TUBB4B|ATM|CALM1|RNASEH2B
GO:0000122,negative regulation of transcription by RNA polymerase II,4.7729523900101e-06,875,FGFR2|TP53|STAT3|TRPV4|KCTD1|VHL|TFAP2A|BAG3|FOXL2|ZBTB20|DNMT1|CREBBP|ATRX|MECP2|GATA1|GATA2|SUZ12|DNMT3B|FOXC2|CDKN1C|SMAD4|YY1|TWIST1|RB1|TP63|NIPBL|TBL1XR1|CTNNB1|SMARCA2|CD36|ZFHX3|FOXC1|EP300|HIVEP1|CIC|RLIM|HDAC4|BMP4|PER2|HESX1|ZEB2|RELA|NOTCH2|HNF1A|ETV6|GTF2IRD1|MSX2|HNF1B|NEDD4L|GATAD2B|VDR|SMAD2|TGIF1|TRPS1|HNRNPU|RPL10|NFKB1|DPF2|KANK2|GFI1B
GO:0000165,MAPK cascade,7.08736341801121e-08,950,FGFR2|RAF1|PTPN11|PTEN|RET|TRPV4|LRRK2|NEFL|KRAS|APP|MAP2K2|GSTP1|BRAF|MET|NF1|PDGFRB|ACTN2|TEK|SASH1|MAP2K1|SPTAN1|SOS1|PPP2CA|ABL1|SMAD4|PAK1|APOE|PRKCD|CTNNB1|SPTB|NTRK2|MAPK8IP3|CD36|MAK|SHANK3|BMP4|ALK|CALM1|IRS1|SPTA1|CDC42|FGFR3|ZMYND11|ZEB2|FGF23|FAS|YWHAZ|NOTCH2|RIPK1|SRC|EPHB2|GATA4|EGFR|MAPK1|PINK1|FLT4|NF2|KIT|HRAS|MAP4K4|NFKB1|RASA3|GRIN1|MADD|EPHA2|NCF1|S1PR2|PABPN1
GO:0000226,microtubule cytoskeleton organization,6.24208263469822e-07,594,LMNA|BRCA1|CHEK2|TRPV4|NEFL|DYNC1H1|FLNA|AAAS|MYH9|MAPT|MET|ATRX|MECP2|CALM2|BRCA2|VCP|TUBA1A|MLH1|NIN|WDR62|APC|ABL1|PIBF1|PAK1|TUBB2B|DCX|CTNNB1|TUBB4A|INCENP|FMN2|TUBB4B|GJA1|SMC3|BICD2|DYRK1A|CALM1|SASS6
GO:0000280,nuclear division,0.0233958044784817,424,CHEK2|FLNA|AAAS|PDE3A|ATRX|PDGFRB|PRKAR1A|BRCA2|MLH1|CDKN1C|APC|PIBF1|PHIP|RB1|NIPBL|KIF14|LRP5|INCENP|FMN2|BMP4|SMC3|ATM|CDC42|MLH3|MSX2|INO80|CDT1|HNRNPU|KIF11|CEP97
GO:0000302,response to reactive oxygen species,3.74791908904678e-05,238,GNAO1|DNM2|LRRK2|GSTP1|MAPT|MET|PDGFRB|COL1A1|ABL1|APOE|PRKCD|TRPC6|CD36|TPM1|BTK|RELA|RIPK1|PYCR1|SRC|EGFR|MAPK1|PINK1|UBE3A|EEF2|HBA1
GO:0000904,cell morphogenesis involved in differentiation,8.06878254760796e-18,764,FGFR2|PTPN11|PTEN|RET|DNM2|LRRK2|CDKL5|NEFL|FLNA|APP|MYH9|BRAF|MAPT|STK11|MET|TEK|GATA1|MAP2K1|DNM1L|SPTAN1|NIN|FLNB|CAMK2B|SOS1|ACTB|ABL1|SMAD4|PAK1|TUBB2B|PIK3R1|ALS2|RB1|APOE|DCX|RAC2|VCL|KIF14|CTNNB1|SPTB|KIF1A|BMPR2|NTRK2|RERE|DPYSL2|TRPC6|MAPK8IP3|ACTN4|EP300|CAMK2A|SHANK3|SLITRK5|ADNP|L1CAM|SPTA1|CDC42|ANTXR1|ZEB2|RAC3|NOTCH2|MICALL2|SRC|EPHB2|TUBB3|NEDD4L|MAPK1|EGR2|FAT1|UBE3A|GDI1|LIMS2|OPHN1|STXBP1
GO:0001501,skeletal system development,3.51369652274113e-08,523,FGFR2|PTPN11|RYR1|TP53|TRPV4|TFAP2A|TGFBR2|PDGFRB|TEK|TRIP11|COL1A1|MTHFD1|FOXC2|CDKN1C|TWIST1|RPS6KA3|TP63|NIPBL|POR|CTNNB1|BMPR2|LRP5|IFT140|FOXC1|EP300|GJA1|HDAC4|CHSY1|BMP4|EIF2AK3|FGFR3|ALPL|RELA|NOTCH2|SRC|MSX2|TCOF1|INPPL1|ACVRL1|PKD1|VDR|SMAD2|KIT|SERPINH1|TRPS1
