term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000070,mitotic sister chromatid segregation,1.96739454384964e-05,158,ATRX|CENPF|CENPE|SMC5|NCAPD2|SMC2|TACC3|APC|TPR|CCNB1|CDC20|NCAPH2|CUL3|INO80|NSL1|VPS4B|CDC27|NUP62|RRS1|AKAP8|INCENP|DUSP1|PCID2|GEN1|RB1|PDS5A|SMC4|BUB1B-PAK6|KIF23|CDK5RAP2|ANAPC1|NCAPD3|ZW10|KIF4A|PDS5B|NUMA1|PLK1|CDCA8|MAD1L1|KLHL22|USP44|SPAG5|NSMCE2|KIFC1|CHMP5|NIPBL|RAD21|CDC16|PIBF1|SMC1A
GO:0000075,cell cycle checkpoint,1.81001738704772e-07,220,MDC1|CENPF|TOPBP1|TICRR|GIGYF2|TNKS1BP1|TP53BP1|APC|USP28|TPR|BRSK1|CDC5L|CCNB1|BRIP1|TOP2B|CDC20|BRCA1|AURKA|PIDD1|CDK5RAP3|CNOT1|CNOT6L|EP300|E2F4|DUSP1|TOP2A|PCID2|GEN1|CLSPN|RB1|E2F8|BUB1B-PAK6|CDK5RAP2|DTL|FANCD2|TIMELESS|BLM|ZW10|DNA2|PLK2|ORC1|CCND1|CDKN1B|DOT1L|WDR76|TAOK3|CNOT4|NBN|CDC25C|FBXO4|FBXO31|PTPN11|PLK1|FZR1|MAD1L1|GTSE1|CNOT3|KLHL22|CDC14B
GO:0000077,DNA damage checkpoint,0.000118849771468506,150,MDC1|TOPBP1|TICRR|GIGYF2|TNKS1BP1|TP53BP1|USP28|BRSK1|CDC5L|CCNB1|BRIP1|BRCA1|AURKA|PIDD1|CDK5RAP3|CNOT1|CNOT6L|EP300|E2F4|CLSPN|E2F8|DTL|FANCD2|BLM|PLK2|CCND1|CDKN1B|DOT1L|WDR76|TAOK3|CNOT4|NBN|CDC25C|FBXO4|FBXO31|PTPN11|PLK1|FZR1|GTSE1|CNOT3|CDC14B
GO:0000082,G1/S transition of mitotic cell cycle,9.27547140768906e-05,283,MCM5|GIGYF2|TNKS1BP1|CCNB1|MARK4|NPAT|CUL3|INO80|AURKA|MCM7|PIDD1|KANK2|PTEN|PLCB1|PKD1|CDC73|CNOT1|CNOT6L|EP300|E2F4|BACH1|PKD2|CUL1|POLE|ZNF655|RB1|SENP2|ADAM17|ANKRD17|MTBP|LATS2|E2F8|EIF4G1|CUL2|ZNF324|SLFN11|BTN2A2|AKT1|PLK2|ORC1|CCND1|POLA1|CDKN1B|CNOT4|MCM2|USP37|CDC25C|GPNMB|FBXO31|KMT2E|EZH2|CAMK2A|ACVR1B|RRM2|RIPK1|CCNH|MCM8|CDC25A|ZPR1|GTSE1|CNOT3|PSME1|GSPT1|ID2|NASP|CDK16|EGFR|FBXO7
GO:0000086,G2/M transition of mitotic cell cycle,2.44802262522358e-07,260,ALMS1|PSMD1|USP47|FOXM1|CENPF|PCNT|TOPBP1|TICRR|CEP290|CCP110|TAF2|DYNC1H1|PSMD2|BRSK1|CEP250|CCNB1|PLK4|BTRC|FBXW11|MARK4|CEP76|VPS4B|CCNA2|BRCA1|SDCCAG8|PSMB4|AURKA|SIN3A|PSME4|CNTRL|PLCB1|CDK5RAP3|PCM1|BACH1|CDC25B|CUL1|CLSPN|PSMA8|BRSK2|CDK5RAP2|DTL|BLM|ORC1|CCND1|CEP131|TAOK3|NBN|PHOX2B|PPME1|CDC25C|PSMC4|PSMA6|PSMD14|PLK1|MTA3|MECP2|PPM1D|CCNH|CDC25A|PSMD10|CETN2|PSME1|PSMC1|NINL|PSMD4|DNM2|RCC2|PPP1R12A|TPD52L1|RAD21|OPTN|CLASP1|TAOK2|PSMD13|CEP63|CKAP5|PPP2R1A|PSMB8|CEP192|PSMA2|MELK
GO:0000122,negative regulation of transcription by RNA polymerase II,4.3624047970714e-05,875,RIF1|ATRX|SPEN|KDM5A|HCFC1|FOXM1|NCOR2|BCOR|ZNF217|IRF2BPL|PHF12|EZH1|TPR|NCOR1|TCF3|ARID1A|ZEB2|LILRB4|RFC1|ZFPM1|SMARCC2|BPTF|SMARCA2|TRPS1|YBX3|FOXC2|CTR9|CUL3|FOXA1|REST|PHF21A|SRF|RBBP7|IRF2BP1|RTF1|RARG|SPI1|AR|ETS2|SIN3A|KANK2|TMBIM6|ZNF675|BCL11A|NFIB|NACC1|CC2D1A|CDC73|CNOT1|MYB|TXNIP|ATF7IP|CRY2|EZR|EP300|SMAD2|PAXBP1|E2F4|NR1D1|BACH1|NFIC|SUPT5H|SIN3B|NCOA2|PTPN2|PARP1|SCAF8|RNF8|BBX|ETV6|OTUD7B|KAT5|BEND3|DNMT1|RB1|NEDD4L|HIC1|ZNF746|MITF|ZNF608|ELK3|ID1|E2F8|CHD8|ETV3|EGR1|SREBF2|ZNF431|PRRX1|TIMELESS|TCF25|ZEB1|RXRA|HDAC3|FOXK2|CHD3|GTF2IRD1|SCAF4|NOTCH1|CEBPB|CCND1|CUX1|ERF|ZNF136|TBL1X|VPS72|CPEB3|PAX6|HSF4|SIRT2|STRAP|DAB2|HDAC5|PLK1|EZH2|MTA3|MECP2|NR2F6|IGF2|IRX5|PSMD10|DICER1|ZBTB4|CTNNB1|IFNG|UBE2D3|ZNF239|TXN|HBZ|NR2C1|MAPK10|PAWR|THRB|SKIL|PER1|MBD2|RITA1|NOC2L|ID2|E2F2|NCK2|ZBTB21|MAEL|MED1|ZBTB5|YEATS2|PDE2A|HDAC2|SOX15|FBP1|RECQL5|ZC3H8|KLF3|ZFP36|KDM2B|IRX1|TRAF6|ZNF85|E2F1|DLG1|ZFHX3|DACT1|RNF2|ZNF205|SORBS3|HIVEP1|PARP9|CBX2|NIPBL|WWC3|HIPK2|TP63|ZBTB16|TLE4|NRIP1|EHMT1|JUND|DNMT3B|RNF168|WWOX|RELA|SHH|PER2|WT1|HEXIM1|CD36|CNBP|IGHMBP2|EDNRB|ANKRD1|DPF2|NOTCH2|SOX9|KLF5
GO:0000165,MAPK cascade,8.27647408758392e-06,950,HGS|PSMD1|SPTAN1|ITGAV|EMILIN1|IQGAP1|ARHGEF5|FOXM1|SETX|EIF3A|ERBB3|ROCK2|AKAP13|PSMD2|IKBKB|MAP3K4|PTGER4|JAK1|NCOR1|ZEB2|MAPKAPK5|CDK12|JAK2|MST1R|JAK3|PPEF2|DAXX|BTRC|DDT|SPTBN1|FBXW11|CUL3|ERBB2|GRIK2|MAPK1|SPAG9|ABL1|TNIP1|CASR|PINK1|MET|STK3|PSMB4|AR|NTRK2|PTEN|LGALS9|PSME4|ZNF675|LAT|DLG2|NUP62|DMD|BRAP|MAP2K1|PLCB1|LRRK2|MAP3K1|IGFBP6|CYLD|CDK5RAP3|EZR|PPP5C|ROCK1|INSR|SERPINF2|CUL1|DUSP1|DVL3|MAP3K8|PTPN2|PDGFRA|TRAF2|DHX33|PSMA8|ID1|GLIPR2|MAP3K5|PSAP|ARAF|WNK2|NBR1|SRC|PTPRC|HDAC3|IRS1|BTN2A2|RPS6KA6|AKT1|PRKAA1|NDRG2|NQO2|TRAF7|NRK|NOTCH1|TNIP2|KIT|SH3RF1|DSTYK|NF2|DUSP5|TAOK3|SAA1|EIF2AK2|MAP3K13|SYNGAP1|DRD4|PDCD4|CHRNA9|ACTN2|GPNMB|SULT1A3|PPP2CA|CRK|NEFL|PYCARD|PSMC4|FGB|PSMA6|STK39|PTPN11|MAP3K15|DUSP9|PSMD14|GRIN2B|EZH2|RASAL2|ITCH|IGF2|ALK|DUSP14|RIPK1|SMPD1|MAPK6|SIRPA|ASH1L|FGF23|PSMD10|FGFR3|CD44|WNT16|RANBP9|DRD2|CTNNB1|MADD|AKAP12|MAP2K4|PSME1|MAPK10|ILK|PSMC1|PRKCD|PSMD4|MID1|PER1|TAB3|MAK|SPTBN2|RNF149|MED1|CAV2|CEACAM1|NLK|CDH2|EGFR|RET|CRKL|SDCBP|ZFP36|RASGRF2|TRAF6|IRAK1|NOX1|TPD52L1|DLG1|RNF41|DACT1|FGF13|ROS1|RELL2|LTBR|NRP1|SORBS3|SPRED1|PPIA|S100A7|HIPK2|LYN|IL5|MAP3K7|TAOK2|SPTBN5|ROBO1|PIK3R2|GSTP1|PSMD13|MFHAS1|PLCE1|PRKCZ|PPP2R1A|KDR|PSMB8|KITLG|CD36|NMNAT1|DNAJA1|PSMA2|NOTCH2|SEMA6A|SOX9
GO:0000226,microtubule cytoskeleton organization,1.94453512313937e-14,594,ALMS1|ATRX|CLASP2|SYNE2|PCNT|CENPE|DCLK2|SETD2|DST|ARHGEF2|ASPM|CCDC88C|CCP110|KIF3B|TACC3|ROCK2|HTT|APC|DYNC1H1|CEP350|SPATA7|TPR|NCOR1|BRSK1|MAP1B|MYH9|CEP250|GSK3B|NIN|KIAA0753|MAP1A|CCNB1|SLK|PLK4|DNAAF5|CEP295|SMC3|CCSAP|GPSM2|CDC20|FBXW11|MARK4|INO80|CEP76|ABL1|VPS4B|TTLL5|BRCA1|VCP|SDCCAG8|DISC1|MET|CEP85|WDR62|AURKA|MLH1|STARD9|GNAI1|NUP62|CAMSAP3|INCENP|RASSF1|PKD1|CYLD|DYNLT1|EZR|ROCK1|TBCE|PCM1|E2F4|PKD2|STAG2|BRCA2|LMNA|CEP97|TTBK2|TUBA3D|GEN1|RSPH1|DOCK7|KIAA1614|CCDC8|BRSK2|KIF23|CDK5RAP2|PHLDB1|ZW10|RSPH4A|TTLL2|HDAC3|TUBB3|CHD3|PLK2|PRKAA1|KIF4A|KIF20A|PARD6G|CEP120|MAP1S|HSPA1B|KIF11|TUBA3E|CDKN1B|CEP131|MAPRE3|EML1|AAAS|TUBE1|PAX6|TUBA1B|NUMA1|DNAH8|GAS2|NEFL|CNP|BICD2|CFAP206|CUL7|PLK1|MECP2|MAP6|RANBP9|CTNNB1|ZPR1|CLIP4|MAP2|TUBD1|CETN2|CDC14B|TUBGCP5|NINL|INPP5J|MID1|MDM1|TACC2|PPP1R12A|SPAG5|CUL9|SSX2IP|PRKAA2|KIFC1|DLG1|CHORDC1|WDR73|KAT2A|FGF13|LIMK2|CHMP5|CNTN2|PARD3|CLTC|PIBF1|SMC1A|RPAP3|CFAP157|BCAS3|CLASP1|STIL|CEP68|CAMSAP2|CEP63|CHP1|PRKCZ|CKAP5|PPP2R1A
GO:0000280,nuclear division,5.40738837689916e-05,424,ATRX|CLASP2|MKI67|CENPF|CENPE|SMC5|NCAPD2|SMC2|ASPM|KIF3B|TACC3|APC|TPR|RAD54B|FANCA|CCNB1|BRIP1|TOP2B|SMC3|CCSAP|CDC20|NCAPH2|CUL3|INO80|WAPL|NSL1|VPS4B|CEP85|AURKA|MLH1|CDC27|NUP62|RRS1|PLCB1|AKAP8|INCENP|INSR|STAG2|BRCA2|CDC25B|DUSP1|TOP2A|CEP97|PCID2|GEN1|PSMA8|RB1|MTBP|CCDC8|PDS5A|DAPK3|SMC4|BUB1B-PAK6|KIF23|CDK5RAP2|FANCD2|ANAPC1|NCAPD3|TOM1L1|ZW10|TERF1|FBXO43|KIF4A|TDRD9|HSPA1B|KIF11|CDKN1B|PHIP|PDS5B
GO:0000375,"RNA splicing, via transesterification reactions",3.80020394598925e-05,361,SPEN|U2SURP|SF3B1|RBM15|SETX|SNRNP200|SRRM2|CDC5L|HNRNPR|METTL16|SCAF11|METTL3|GPATCH1|TFIP11|SF3A1|REST|DDX41|SMNDC1|SRSF6|SRSF7|SNRNP70|RSRC1|USP4|PRMT7|ZCCHC8|SYMPK|PRPF8|RBM42|WDR33|HNRNPL|PUF60|BUD13|HNRNPUL1|PRPF6|SRRM1|CASC3|DDX46|CSTF2T|RBM5|DHX8|FMR1|FIP1L1|CTNNBL1|CWC25|SRRM4|XAB2|DDX23|RNF113A|SFSWAP|DHX15|SRRT|PPIL3|FAM172A|KHSRP|SF3B2|SART3|RBM4B|NCL|FXR1|MFAP1|SNRPA|RBM22|DHX9|STRAP|RBM41|ZMAT2|SUGP1|CELF1|HTATSF1|UPF3B|RBM4|KHDRBS3|SRSF9|PCF11|CWF19L1|ZRSR2|ISY1|HNRNPA1|SART1
