term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000375,"RNA splicing, via transesterification reactions",0.00132652895284298,361,CASC3|NCL|HNRNPR|THRAP3|RBMXL1|SYNCRIP|SF3A1|RBM6|SCAF11|SPEN|PRMT7|SF3B2|WDR33
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.00120475069118625,358,CASC3|NCL|HNRNPR|THRAP3|RBMXL1|SYNCRIP|SF3A1|RBM6|SCAF11|SPEN|PRMT7|SF3B2|WDR33
GO:0000398,"mRNA splicing, via spliceosome",0.00120475069118625,358,CASC3|NCL|HNRNPR|THRAP3|RBMXL1|SYNCRIP|SF3A1|RBM6|SCAF11|SPEN|PRMT7|SF3B2|WDR33
GO:0006396,RNA processing,2.0029964304796e-08,963,SAFB2|BMS1|SENP3|CASC3|NCL|AHNAK|PPP2R1A|HNRNPR|THRAP3|CDC73|ZNF638|RBMXL1|SYNCRIP|HNRNPA1L2|CDK9|BCLAF1|SF3A1|RBM6|SCAF11|RBBP6|SPEN|PRMT7|SF3B2|SCAF4|WDR33|RPRD2|RPS26|SLBP|TRMT112|LSM4|CDK12|RBM12|RBM42
GO:0006397,mRNA processing,1.84123801105812e-08,533,SAFB2|CASC3|NCL|HNRNPR|THRAP3|CDC73|RBMXL1|SYNCRIP|HNRNPA1L2|CDK9|BCLAF1|SF3A1|RBM6|SCAF11|RBBP6|SPEN|PRMT7|SF3B2|SCAF4|WDR33|RPRD2|SLBP|LSM4|CDK12|RBM42
GO:0006401,RNA catabolic process,0.0133466744863113,420,YBX3|CASC3|PPP2R1A|HNRNPR|THRAP3|SYNCRIP|BCLAF1|PATL1|CNOT4|RPL29|ANGEL2|YTHDF2|LRPPRC|RPS26|LSM4
GO:0006402,mRNA catabolic process,0.0221395812674759,381,YBX3|CASC3|PPP2R1A|HNRNPR|THRAP3|SYNCRIP|BCLAF1|PATL1|CNOT4|RPL29|ANGEL2|YTHDF2|RPS26|LSM4
GO:0008380,RNA splicing,3.76112097472238e-08,457,CASC3|NCL|AHNAK|PPP2R1A|HNRNPR|THRAP3|ZNF638|RBMXL1|SYNCRIP|HNRNPA1L2|BCLAF1|SF3A1|RBM6|SCAF11|SPEN|PRMT7|SF3B2|WDR33|RPS26|LSM4|CDK12|RBM12|RBM42
GO:0016032,viral process,0.0314070171636708,927,PI4KA|EIF3A|TLN1|HLA-B|SRCAP|HSP90AA1|CDK5RAP3|SYNCRIP|AHSA1|CDK9|G3BP1|TUFM|CHMP7|SPEN|RANBP2|RPL29|SF3B2|FBXW11|TPR|YTHDF2
GO:0016071,mRNA metabolic process,1.29287078455309e-09,872,SAFB2|YBX3|CASC3|NCL|PPP2R1A|HNRNPR|THRAP3|CDC73|RBMXL1|SYNCRIP|HNRNPA1L2|CDK9|BCLAF1|SF3A1|PATL1|RBM6|SCAF11|RBBP6|CNOT4|SPEN|PRMT7|RPL29|ANGEL2|SF3B2|SCAF4|WDR33|RPRD2|YTHDF2|RPS26|SLBP|LSM4|CDK12|RBM42
GO:0019439,aromatic compound catabolic process,0.00559709238118876,626,YBX3|CECR2|CASC3|PPP2R1A|HNRNPR|THRAP3|SYNCRIP|BCLAF1|PATL1|TET2|PNP|CNOT4|RPL29|ANGEL2|AHCY|YTHDF2|LRPPRC|RPS26|LSM4
GO:0034655,nucleobase-containing compound catabolic process,0.00501561325588513,560,YBX3|CECR2|CASC3|PPP2R1A|HNRNPR|THRAP3|SYNCRIP|BCLAF1|PATL1|PNP|CNOT4|RPL29|ANGEL2|AHCY|YTHDF2|LRPPRC|RPS26|LSM4
GO:0044270,cellular nitrogen compound catabolic process,0.00368720645558229,609,YBX3|CECR2|CASC3|PPP2R1A|HNRNPR|THRAP3|SYNCRIP|BCLAF1|PATL1|TET2|PNP|CNOT4|RPL29|ANGEL2|AHCY|YTHDF2|LRPPRC|RPS26|LSM4
GO:0046700,heterocycle catabolic process,0.00319233494097716,608,YBX3|CECR2|CASC3|PPP2R1A|HNRNPR|THRAP3|SYNCRIP|BCLAF1|PATL1|TET2|PNP|CNOT4|RPL29|ANGEL2|AHCY|YTHDF2|LRPPRC|RPS26|LSM4|ALDH4A1
GO:0050685,positive regulation of mRNA processing,0.0153651603103864,36,NCL|THRAP3|CDC73|RBMXL1
GO:1901361,organic cyclic compound catabolic process,0.0112677744005275,659,YBX3|CECR2|CASC3|PPP2R1A|HNRNPR|THRAP3|SYNCRIP|BCLAF1|PATL1|TET2|PNP|CNOT4|RPL29|ANGEL2|AHCY|YTHDF2|LRPPRC|RPS26|LSM4|ALDH4A1
GO:1903311,regulation of mRNA metabolic process,0.0169431602583453,349,SAFB2|YBX3|NCL|HNRNPR|THRAP3|CDC73|RBMXL1|SYNCRIP|CDK9
GO:1903313,positive regulation of mRNA metabolic process,0.0165432427800878,85,NCL|HNRNPR|THRAP3|CDC73|RBMXL1
REAC:R-HSA-70171,Glycolysis,0.00307079716689354,67,ENO1|PPP2R1A|BPGM|HK1|RANBP2|GPI|TPR
REAC:R-HSA-70326,Glucose metabolism,0.0157980345378602,85,ENO1|PPP2R1A|BPGM|HK1|RANBP2|GPI|TPR
