term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000070,mitotic sister chromatid segregation,0.00221520673895354,158,ATRX|APC|CENPF|MAD1L1|NUMA1|TACC3|NCAPH2|INCENP|GEN1|VPS4B|KIF23|NEK2|PLK1|CHMP7|CCNB1|NCAPD2|KIF22|SMC5|BUB1B-PAK6|TPR|CDC27|KIF4A|TTK|NCAPH|CENPE|NSL1|KIF2C|CHMP5|CDK5RAP2|RAB11A|KLHL22|PRC1
GO:0000075,cell cycle checkpoint,6.37745556207278e-06,220,TOPBP1|TP53BP1|APC|CENPF|TICRR|BRCA1|TOP2B|BRSK1|MAD1L1|MDC1|ATR|TNKS1BP1|CDC5L|MSH2|AURKA|USP28|CNOT1|GEN1|GIGYF2|EP300|PLK1|E2F4|DLG1|CCNB1|BRIP1|CCAR2|BUB1B-PAK6|FANCD2|TPR|CDK5RAP3|ORC1|DTL|TTK|CNOT4|DOT1L|NBN|CDC25C|FBXO4
GO:0000077,DNA damage checkpoint,0.000203896142556196,150,TOPBP1|TP53BP1|TICRR|BRCA1|BRSK1|MDC1|ATR|TNKS1BP1|CDC5L|MSH2|AURKA|USP28|CNOT1|GIGYF2|EP300|PLK1|E2F4|CCNB1|BRIP1|CCAR2|FANCD2|CDK5RAP3|DTL|CNOT4|DOT1L|NBN|CDC25C|FBXO4
GO:0000086,G2/M transition of mitotic cell cycle,3.99606504795745e-09,260,FOXM1|TOPBP1|CENPF|TICRR|BRCA1|BRSK1|DYNC1H1|PCM1|PSMD1|BTRC|USP47|CCP110|AURKA|PCNT|VPS4B|CEP250|HSP90AA1|PSMA2|PPP1R12A|NEK2|PLK1|MECP2|CCNB1|CNTRL|ALMS1|MARK4|CEP290|BRSK2|CDK5RAP3|ORC1|DTL|CCNY|CLASP1|HAUS6|NBN|PHOX2B|MELK|CDC25C|PPME1|PSMD2|CETN2|MTA3|PPM1D|PSMD13|PSME4|CCNH|CDC25A|PSMC5|CDK5RAP2|PSMA1|RAB11A|PLK4|NINL|DNM2|PRKACA|SIN3A|OPTN|RCC2
GO:0000226,microtubule cytoskeleton organization,1.15463035416682e-19,594,ATRX|MYH9|SETD2|CLASP2|CCDC88C|APC|BRCA1|NCOR1|BRSK1|DCLK2|MAP1B|SLK|NIN|DYNC1H1|MAP1A|PCM1|HSPA1B|CCSAP|GPSM2|NUMA1|HTT|TACC3|CLTC|ABL1|DST|KIF3B|CCP110|WDR62|AURKA|INCENP|STARD9|GEN1|CKAP2|VCP|PCNT|CAMSAP3|VPS4B|GSK3B|ROCK2|CEP250|CYLD|TUBB3|PKD1|KIF23|PPP1R12A|NEK2|PLK1|E2F4|PKD2|FLNA|DLG1|KAT2A|LMNA|TTBK2|DOCK7|SYNE2|RSPH1|KIAA1614|MECP2|MLH1|NCKAP5L|CCNB1|TUBA3E|CCDC8|ALMS1|MARK4|BRSK2|ASPM|NAV1|TUBA1B|TPR|RSPH4A|ARHGEF2|MAPRE3|TTLL2|HDAC3|ATXN7|PHLDB1|PARD3B|KIF4A|PARD6G|TTK|CLASP1|CEP350|SON|HAUS6|CENPE|EML1|AAAS|PAX6|DNAH8|GAS2|RASSF1|INPP5J|KIAA0753|CETN2|NEFL|CUL7|CFAP206|LLGL2|BICD2|CEP68|RPS3|KIF2C|MAP6|RANBP9|CHMP5|CDK5RAP2|CTNNB1|ZPR1|CLIP4|MAP2|RAB11A|PLK4|CDC14B|NINL|PRKAA1|PAK1|PRC1
GO:0000280,nuclear division,0.0154212309279965,424,ATRX|WAPL|CLASP2|MKI67|APC|CENPF|TOP2B|MAD1L1|INSR|HSPA1B|CCSAP|NUMA1|TACC3|KIF3B|AURKA|NCAPH2|INCENP|GEN1|VPS4B|PHIP|KIF23|NEK2|PLK1|FLNA|CHMP7|TOM1L1|MLH1|CCNB1|BRIP1|NCAPD2|CCDC8|KIF22|SMC5|BUB1B-PAK6|ASPM|FANCD2|TPR|CDC27|TERF1|FBXO43|KIF4A|TTK|CLASP1|NCAPH|CENPE|AAAS|CDC25C|NSL1|SIRT2|CUL7|PSMD13|KIF2C|CHMP5|CDK5RAP2|RAB11A|KLHL22|SLX4|CDC14B|MOV10L1|PRC1
GO:0000375,"RNA splicing, via transesterification reactions",0.000305623714225061,361,SPEN|U2SURP|SNRNP200|RBM15|PRPF8|DHX9|SRRM2|METTL16|SCAF11|PABPC1|TFIP11|CDC5L|REST|SRSF6|RSRC1|ZCCHC8|GPATCH1|PCF11|DDX5|POLR2B|PUF60|LUC7L3|BUD13|RNF113A|DDX42|SRRM1|RBM5|DHX8|PPIL3|SRSF7|SRRM4|STRAP|ZMAT2|SUGP1|SMNDC1|DDX23|SFSWAP|HNRNPR|DHX15|FAM172A|METTL3|SON|SRSF9|SART3|FXR1|MFAP1|SNRNP70|DDX41|RBM41|HTATSF1|SYMPK|TRA2A|UPF3B|SNRPB|THRAP3|ZRSR2|ISY1|HNRNPA1|RBM22
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.00022466384080616,358,SPEN|U2SURP|SNRNP200|RBM15|PRPF8|DHX9|SRRM2|METTL16|SCAF11|PABPC1|TFIP11|CDC5L|REST|SRSF6|RSRC1|ZCCHC8|GPATCH1|PCF11|DDX5|POLR2B|PUF60|LUC7L3|BUD13|RNF113A|DDX42|SRRM1|RBM5|DHX8|PPIL3|SRSF7|SRRM4|STRAP|ZMAT2|SUGP1|SMNDC1|DDX23|SFSWAP|HNRNPR|DHX15|FAM172A|METTL3|SON|SRSF9|SART3|FXR1|MFAP1|SNRNP70|DDX41|RBM41|HTATSF1|SYMPK|TRA2A|UPF3B|SNRPB|THRAP3|ZRSR2|ISY1|HNRNPA1|RBM22
GO:0000398,"mRNA splicing, via spliceosome",0.00022466384080616,358,SPEN|U2SURP|SNRNP200|RBM15|PRPF8|DHX9|SRRM2|METTL16|SCAF11|PABPC1|TFIP11|CDC5L|REST|SRSF6|RSRC1|ZCCHC8|GPATCH1|PCF11|DDX5|POLR2B|PUF60|LUC7L3|BUD13|RNF113A|DDX42|SRRM1|RBM5|DHX8|PPIL3|SRSF7|SRRM4|STRAP|ZMAT2|SUGP1|SMNDC1|DDX23|SFSWAP|HNRNPR|DHX15|FAM172A|METTL3|SON|SRSF9|SART3|FXR1|MFAP1|SNRNP70|DDX41|RBM41|HTATSF1|SYMPK|TRA2A|UPF3B|SNRPB|THRAP3|ZRSR2|ISY1|HNRNPA1|RBM22
GO:0000723,telomere maintenance,0.000260906514491299,163,RIF1|ATRX|SMG1|ATR|TNKS1BP1|DKC1|TFIP11|YLPM1|MAP3K4|DCLRE1A|XRCC6|HSP90AA1|NEK2|PRKCQ|CCT3|EXOSC10|POLD3|RFC1|SMG7|PNKP|SMC5|SRC|TERF1|DHX36|PARP1|NBN|FBXO4|CCT5|CTNNB1|CCT4|CCT8|SLX4|HNRNPA1|HSP90AB1|PARN|WRN
