term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000070,mitotic sister chromatid segregation,6.24577944084161e-10,158,SMC5|CENPE|SMC2|NCAPD3|PPP2R1A|NCAPH2|ATRX|RRS1|BECN1|TPR|PDS5A|SPAG5|RB1|RAD21|CUL3|CDK5RAP2|ZW10|NUMA1|CENPF|ANAPC1|TACC3|AKAP8|CDCA8|CHMP7|PDS5B|CDC20|CDC27|SMC1A|VPS4B|GEN1
GO:0000075,cell cycle checkpoint,0.00231376722416299,220,TOP2A|MDM4|TOPBP1|ATR|UIMC1|GIGYF2|BRIP1|TPR|RB1|CDK5RAP2|CLSPN|ZW10|ERCC6|CENPF|BLM|DNA2|PLK2|RPS6|NSUN2|WDR76|TAOK3|CDC20|TOP2B|FBXO31|GEN1|FZR1
GO:0000086,G2/M transition of mitotic cell cycle,0.00266931649093974,260,ALMS1|PSMD1|CEP290|TOPBP1|SIN3A|PPP2R1A|TAF2|USP47|CEP250|PSMD2|PCNT|RAD21|CDK5RAP2|CLSPN|CENPJ|CDC7|CUL1|PLK4|CENPF|DYNC1H1|BLM|FBXW11|PSMD3|TAOK3|TPX2|CKAP5|VPS4B|FOXM1
GO:0000226,microtubule cytoskeleton organization,3.79412149471332e-09,594,ALMS1|SYNE2|DNAAF5|CEP295|CENPE|HTT|BRCA2|SLK|FKBP4|ASPM|PPP2R1A|KIAA0753|DISC1|SPATA7|ATRX|GNAI1|MYH9|ROCK1|CEP350|HSPA1A|DYNLT1|CEP250|ARHGEF2|TPR|PRKAA1|STAG2|PCNT|WDR62|SPAG5|CEP97|CDK5RAP2|ZW10|NUMA1|CENPJ|TBCE|PLK4|DYNC1H1|SMC3|PLK2|TACC3|CEP120|FLNA|KIF11|MET|FBXW11|SKA1|MAP1S|CDC20|TUBE1|VCP|TTLL5|ROCK2|TPX2|CKAP5|SMC1A|DST|TUBB3|VPS4B|RPS3
GO:0000280,nuclear division,1.14364308928388e-09,424,MKI67|TOP2A|SMC5|CENPE|RAD54B|BRCA2|ASPM|SMC2|NCAPD3|PPP2R1A|NCAPH2|ATRX|RRS1|BRIP1|HSPA1A|BECN1|FANCA|TPR|PDS5A|STAG2|KIF20B|SPAG5|CEP97|RB1|RAD21|CUL3|CDK5RAP2|ZW10|NUMA1|MTBP|DAPK3|CENPF|ANAPC1|SMC3|TACC3|TDRD9|AKAP8|FLNA|KIF11|CDCA8|CHMP7|PDS5B|CDC20|CDC27|TOP2B|NFE2L1|TPX2|SMC1A
GO:0000819,sister chromatid segregation,1.63891132782051e-12,189,TOP2A|SMC5|CENPE|ESCO2|SMC2|NCAPD3|PPP2R1A|NCAPH2|ATRX|RRS1|BECN1|TPR|PDS5A|STAG2|SPAG5|RB1|RAD21|CUL3|CDK5RAP2|ZW10|NUMA1|CENPF|ANAPC1|SMC3|TACC3|AKAP8|CDCA8|CHMP7|PDS5B|CDC20|CDC27|TOP2B|SMC1A|AXIN2|VPS4B|GEN1
GO:0002444,myeloid leukocyte mediated immunity,0.00675116864696983,555,HLA-B|PSMD1|HUWE1|CEP290|SPTAN1|CKAP4|IQGAP1|MAPK1|RAB27A|STXBP2|CAND1|ITGB2|DNAJC13|COPB1|ROCK1|HSPA1A|DYNLT1|PSMD2|DDX1|IGF2R|ADAM17|HMOX1|DDX21|LYN|DOCK2|CAPN1|LAT|DYNC1H1|EEF2|ITGAL|ACTR10|ALDOC|PRDX4|CPNE3|PSMD3|SLC2A3|METTL7A|SERPINB1|GGH|VCP
GO:0006259,DNA metabolic process,1.07710407393935e-13,956,TOP2A|ZRANB3|HUWE1|SETX|RLF|PARPBP|SMC5|TOPBP1|EXO5|RAD54B|BRCA2|ATR|ESCO2|USP7|UIMC1|ASCC2|MAPK1|HMCES|WDHD1|ATRX|USP47|TRRAP|BOD1L1|BRIP1|FH|KAT7|PPP5C|FANCA|ZNF93|MAPKAPK5|ZNF91|SMG7|PDS5A|TRIP12|DDX1|RNF8|KAT5|HERC2|PARP2|MCM5|RAD21|CLSPN|USP1|WRN|TATDN2|DDX21|CDC7|ERCC6|PRMT7|ASCC3|GSK3A|CENPF|RFC5|BLM|RIF1|POLQ|CHAF1A|SUPT16H|PMS2|SMC3|SLFN11|DNA2|SMC6|TDRD9|MPHOSPH8|SMARCAL1|CNBP|MAP1S|TAOK3|PDS5B|NPLOC4|UBR5|NSMCE1|TOP2B|UHRF2|VCP|CCT5|MIS18A|CCT4|SMC1A|TONSL|AXIN2|GINS1|RPS3|COPS4|GEN1|FOXM1|TATDN1|PARN|FZR1|DICER1|KMT2A|POLB|ERCC2|UBR2
GO:0006260,DNA replication,4.95461591901611e-09,283,ZRANB3|RRM1|TOPBP1|SIN3A|BRCA2|ATR|ESCO2|PPP2R1A|WDHD1|ATRX|ZBTB38|BOD1L1|BRIP1|KAT7|NFIB|PDS5A|KAT5|MCM5|CLSPN|WRN|ING5|DDX21|CDC7|RFC5|BLM|RBBP6|POLQ|CHAF1A|SUPT16H|SMC3|SLFN11|DNA2
GO:0006261,DNA-dependent DNA replication,0.00629397260174794,158,ZRANB3|TOPBP1|BRCA2|WDHD1|ATRX|BOD1L1|KAT7|MCM5|WRN|DDX21|CDC7|RFC5|BLM|POLQ|SLFN11|DNA2|SMARCAL1|TONSL|GINS1|GEN1|POLB
GO:0006275,regulation of DNA replication,0.000111607798557525,113,ZRANB3|BRCA2|ATR|ESCO2|PPP2R1A|ATRX|ZBTB38|KAT7|PDS5A|CDC7|RFC5|BLM|RBBP6|SMC3|SLFN11|DNA2|SMARCAL1
GO:0006281,DNA repair,2.42886406769069e-12,568,ZRANB3|HUWE1|SETX|PARPBP|SMC5|TOPBP1|EXO5|RAD54B|BRCA2|ATR|ESCO2|USP7|UIMC1|ASCC2|HMCES|WDHD1|ATRX|USP47|TRRAP|BOD1L1|BRIP1|FH|KAT7|PPP5C|FANCA|PDS5A|TRIP12|DDX1|RNF8|KAT5|HERC2|PARP2|MCM5|RAD21|CLSPN|USP1|WRN|CDC7|ERCC6|ASCC3|RFC5|BLM|RIF1|POLQ|CHAF1A|SUPT16H|PMS2|SMC3|DNA2|SMC6|SMARCAL1|TAOK3|PDS5B|NPLOC4|UBR5|NSMCE1|VCP|SMC1A|TONSL|AXIN2|RPS3|COPS4|GEN1|FOXM1|FZR1|POLB|ERCC2
GO:0006302,double-strand break repair,7.35087572846054e-05,264,SETX|PARPBP|SMC5|RAD54B|BRCA2|ESCO2|UIMC1|HMCES|BRIP1|TRIP12|DDX1|RNF8|KAT5|HERC2|PARP2|MCM5|RAD21|WRN|CDC7|ERCC6|BLM|RIF1|POLQ|DNA2|SMARCAL1|UBR5|NSMCE1|VCP|TONSL|GEN1|FOXM1|POLB
GO:0006325,chromatin organization,0.000236537445887008,821,MKI67|HUWE1|EZH1|KDM3B|RLF|CDC73|BCOR|KDM5A|GTF3C4|SIN3A|BRCA2|KDM5D|USP7|UIMC1|HCFC1|ATRX|PINK1|TRRAP|SMARCC1|TDRD3|KAT7|PPP5C|RNF20|MIS18BP1|TPR|TRIP12|PRKAA1|TSPYL5|ARID1A|JAK2|RNF8|WDR5|KAT5|OGT|RB1|ING5|DAPK3|ERCC6|PRMT7|RIF1|HLTF|DAXX|CHAF1A|SUPT16H|PHF2|PHF14|AKAP8|MPHOSPH8|SRCAP|MAP1S|C17orf49|CTR9|UBR5|SMARCA2|MSL2|MIS18A|SOX9|MPND|RBBP5|CENPO|PHF21A|KMT2A|KANSL1|UBR2|MSL3|RBBP7
