term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000070,mitotic sister chromatid segregation,9.72226236123542e-06,158,ATRX|POGZ|NUMA1|PDS5A|SMC1A|SMC5|TACC3|NCAPD2|CDK5RAP2|ATM|NIPBL|KIF22|KIFC1|NCAPG|PRC1|TPR|NCAPH2|BUB1B|CENPF|AKAP8L|BUB1|CCNB1|MAU2|SPAG5|SLF1|TTK|CENPE|CUL3|NCAPD3|CDC20|SLF2|CDT1|RAD21|APC|RMDN1|KPNB1
GO:0000075,cell cycle checkpoint,1.10765414042465e-05,220,MDC1|BRCA1|TOP2B|GIGYF2|CNOT1|EP300|CDK5RAP2|ATM|DOT1L|ORC1|TPR|BUB1B|CENPF|INTS7|BUB1|CCNB1|TOP2A|USP28|BRIP1|TTK|ETAA1|TICRR|WDR76|FANCD2|BLM|CDC20|CNOT6|TAOK2|KNTC1|CDT1|TAOK3|RPL24|TNKS1BP1|APC|ZNF830|PPP1R10|TAOK1|CDK2|CCND1|RPS27L|CDK1|PIDD1|TIMELESS|UIMC1|ARID3A|ATR|FBXO6|PCID2|CDC14B|SFN|ATF2|E2F1|TOPBP1|GEN1|THOC1|E2F4|TEX14|NSUN2|CRY1|DONSON|FOXN3|PCNA|BRSK1|CLSPN
GO:0000077,DNA damage checkpoint,0.000726297814826294,150,MDC1|BRCA1|GIGYF2|CNOT1|EP300|ATM|DOT1L|INTS7|CCNB1|USP28|BRIP1|ETAA1|TICRR|WDR76|FANCD2|BLM|CNOT6|TAOK2|TAOK3|TNKS1BP1|ZNF830|PPP1R10|TAOK1|CDK2|CCND1|RPS27L|CDK1|PIDD1|UIMC1|ARID3A|ATR|FBXO6|CDC14B|SFN|ATF2|E2F1|TOPBP1|THOC1|E2F4|CRY1|DONSON|FOXN3|PCNA|BRSK1|CLSPN|CDK5RAP3|DTL
GO:0000086,G2/M transition of mitotic cell cycle,0.000121349873237322,260,DYNC1H1|ALMS1|DNM2|BRCA1|DCTN1|PCNT|CDK5RAP2|ATM|ORC1|AVEN|CKAP5|HAUS2|SIN3A|CENPF|NES|CCP110|CCNB1|PSMB10|CENPJ|MELK|USP47|PSMD4|SMARCD3|AJUBA|TICRR|SDCCAG8|BLM|TAOK2|TAOK3|RAD21|PSME4|ZNF830|CDC25A|TAOK1|CEP192|CEP164|CDK2|PSMB7|CCND1|BTRC|BORA|PSMC4|CDK1|APP|PSMA5|CEP135|SKP1|NEDD1|CALM1|PSMB4|KCNH5|ODF2|PSMA8|TPX2|SFI1|TOPBP1|CLASP1|PSMC2|HSPA2|CDK4|CEP78|DONSON|KIF14|FOXN3|TUBB|PSME3|BRSK1|CLSPN|FBXL7|CDK5RAP3|DTL|CUL1|PCM1|FOXM1|PSMD2|PSMF1
GO:0000122,negative regulation of transcription by RNA polymerase II,0.0324657507992912,875,CIC|ATRX|NCOR2|KDM5A|HCFC1|ARID1A|SKI|EHMT1|YBX3|ORC2|JARID2|SMARCA4|EED|RFC1|SAP130|CUX1|CNOT1|PAXBP1|EP300|CC2D1A|TRPS1|CUX2|DNMT1|PHF12|PRDM2|CTNNB1|DDX5|ZBTB4|NIPBL|NFKB1|RREB1|DICER1|TPR|NEDD4L|MYB|MEPCE|TRPV4|IRF2BP2|MED1|SIN3A|SORBS3|AR|BMP4|HDGF|NOTCH2|TCF3|RLIM|SALL2|EZH2|YEATS2|SIN3B|IRF2BPL
GO:0000226,microtubule cytoskeleton organization,2.24944518562411e-14,594,CEP295|DYNC1H1|ALMS1|ATRX|SYNE2|NAV1|FSIP2|BRCA1|DCTN1|ROCK2|ASPM|MAP1A|BRCA2|NUMA1|NIN|SETD2|DOCK7|ABL1|TBCE|CCDC88C|SMC3|SMC1A|MAP4|TACC3|KIAA0753|CCDC120|PCNT|CDK5RAP2|GJA1|KIF24|BNIP2|ARHGEF2|CTNNB1|DST|PARP3|BICD1|KIFC1|PRC1|MAP6|TPR|CEP68|SON|CAMSAP1|CKAP5|TRPV4|HAUS2|RANBP9|MID1|CEP85|IFT172|PKD2|CAMSAP3|TACC2|MARK2|STAG2|MAPT|LLGL2|CCDC8|CCP110|SLAIN2|CLASP2|CCNB1|CENPJ|SPAG5|MLH1|MYH9|CEP350|HDAC6|NEFH|LIMK2|TTK|CENPE|PARD3B|TUBGCP6|TUBB3|HTT|MAP7D2|MAPRE2|NCOR1|KIF3A|SDCCAG8|MAP2|GOLGA2|SPRY2|GSK3B|BICD2|MTCL1|HSPA1B|CDC20|GPSM2|PRKAA2|CHD3|ARMC4|DCLK2|CNTLN|CEP120|APC|STAG1|CCNF|RMDN1|TAOK1|FLNA|CEP192|KPNB1|RASSF1|TUBGCP5|CDK2|TUBA3D|LRRC49|BBS2|MAP1S|MAP9|DISC1|KIF4A|BORA|CDK1|CEP135|RSPH1|TUBA1B|KIF2B|RHOA|VCP|MAP7D1|CALM1|INCENP|CCSAP|ODF2|SPAG1|CHORDC1|NUP62|NCKAP5|CDC14B|TPX2|CNTN2|WDR62|NEK6|CLTC|CCDC40|CCDC88B|CLASP1|GAS2L1|GEN1|E2F4|SPIRE1|TNKS|KIF11|TPPP
GO:0000280,nuclear division,9.86246032829765e-09,424,ATRX|POGZ|TOP2B|ASPM|BRCA2|NUMA1|PDS5A|MKI67|SMC3|SMC1A|SMC5|TACC3|TDRD9|NCAPD2|CDK5RAP2|ATM|NIPBL|TAF1L|CDK13|PHIP|KIF22|KIFC1|NCAPG|PRC1|TPR|SH2B1|NCAPH2|TOM1L1|CEP85|BUB1B|FANCA|BMP4|CENPF|STAG2|AKAP8L|CCDC8|CLASP2|BUB1|CCNB1|TOP2A|MAU2|EHMT2|SPAG5|MLH1|KLHDC3|SIRT7|LRP5|SLF1|RPS6KA2|BRIP1|TTK|CENPE|CUL3|KIF20B|UBR2|GOLGA2|NCAPD3|FANCD2|HSPA1B|TOM1L2|CDC20|SLF2|KNTC1|CDT1|RPL24|RAD21|WAPL|MTBP|APC|STAG1|RMDN1|FLNA|LIF|CEP192|KPNB1|EPS8|FBXO43|DRD3|MAP9|INSR|KIF4A|BORA
GO:0000723,telomere maintenance,0.0429581975582596,163,ATRX|SMG1|BRCA2|USP7|SMC5|RFC1|MAP3K4|ATM|CTNNB1|PARP3|SMC6|UPF1|TEP1|MAPK1|XRCC5
GO:0000819,sister chromatid segregation,6.18614843031072e-08,189,ATRX|POGZ|TOP2B|NUMA1|PDS5A|SMC3|SMC1A|SMC5|TACC3|NCAPD2|CDK5RAP2|ATM|CTNNB1|NIPBL|KIF22|KIFC1|NCAPG|PRC1|TPR|NCAPH2|BUB1B|CENPF|STAG2|AKAP8L|BUB1|CCNB1|TOP2A|MAU2|SPAG5|SLF1|TTK|CENPE|CUL3|NCAPD3|CDC20|SLF2|CDT1|RAD21|WAPL|AXIN2|APC|STAG1|RMDN1|KPNB1
GO:0000904,cell morphogenesis involved in differentiation,4.40995365840878e-06,764,SPTBN1|MYCBP2|DNM2|TOP2B|SPTAN1|DNM1L|MAP1A|NIN|MYH10|DOCK7|ADARB1|ABL1|FLNB|CCDC88C|LRRK2|CUX1|CELSR3|EP300|GOLGA4|CUX2|CTNNB1|SIPA1L1|RREB1|DOCK1|ARHGAP44|TMEM106B|KIF5C|SPTA1|RERE|RTN4|PLXNA4|MAP6|MAPK1|NEDD9|ABI1|NEDD4L|KIF1A|PREX1|NEO1|RAPGEF2|ARHGAP35|RANBP9|ITGAV|SIN3A|CYFIP1|KIF13B|AR|NTN1|NOTCH2|MARK2|SLC1A3|MAPK7|ADNP|PTEN|MAPT|ULK2|IRS2|MYH9|HDAC6|NEFH|TANC2|KIF5A|VASP|CUL3|TUBB3|LHX3|NTRK3|PTPRZ1|KIF3A|FN1|ITGA4|TIAM2|MAP2|TNIK|GSK3B|SYNGAP1|WASL|COBL|SHC3|SKIL|TAOK2|ABI2|RAC2|RPL24|SEMA6D|BOC|LAMC1|FARP1|KIDINS220|SPG11|RAPH1|SCRIB|DOK1|CSF1R|TRAK1|FLNA|CRK|BMPR1B|TTC8|GRB7|SLC25A46|LAMB3|MAP1S|TRIO|DISC1|UCHL1|ISLR2|RAB25|ACTN1|APP|NTRK2|NEXN|DPYSL5|PALLD|BARHL2|ACTBL2|ACTN4|NKX6-1|PAK2|HSP90AB1|PIK3CD|TNN|NRP1|RHOA|MINK1|NUMB|FSTL4|EFNB1|UNC13D|PICALM|NRP2|ADGRB1|MAP2K1|ALCAM|OPA1|CNTN2|AUTS2|IHH|PAK3|DOCK5|ROBO4|B3GNT2|ANKRD27|VAMP7|CHL1|SIAH1|PXN|SRC|S100A10|ERBB2|CACNA1A|MCF2|KIF14|DBN1|FRMD6|CTNND2|DRD2|PPP3CA|DVL1|SOD1|RET|CTTN|PLOD3|BRSK1
