term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000819,sister chromatid segregation,0.0431115163563122,189,CTNNB1|PPP2R1A|TPR|CHAMP1|SMC1A|NUP62
GO:0001666,response to hypoxia,0.000261987025013748,368,AKT1|PTEN|EP300|MYC|SOD2|CREBBP|TP53|HMOX1|PGK1
GO:0001701,in utero embryonic development,0.00804796251611768,369,AKT1|CTNNB1|MYC|HCFC1|NBN|TP53|RTF1|TFEB|MYH10|SUPT6H|KRT8
GO:0005975,carbohydrate metabolic process,0.000117068424840798,640,IDH1|AKT1|PTEN|IDH2|EP300|MYC|TPR|TP53|ALDOA|G6PD|PGK1|NUP62
GO:0005996,monosaccharide metabolic process,0.0150633619243139,298,AKT1|EP300|MYC|TP53|ALDOA|G6PD|PGK1
GO:0006006,glucose metabolic process,0.00162796100447762,214,AKT1|EP300|MYC|TP53|ALDOA|G6PD|PGK1
GO:0006090,pyruvate metabolic process,0.00357125819107176,155,EP300|MYC|TPR|ALDOA|PGK1|NUP62|DLAT
GO:0006091,generation of precursor metabolites and energy,9.50083546869993e-07,545,IDH1|AKT1|IDH2|EP300|MYC|SOD2|TPR|ACAT1|TP53|ALDOA|G6PD|PGK1|NUP62|DLAT|ACADVL
GO:0006096,glycolytic process,0.0027584517486682,118,EP300|MYC|TPR|ALDOA|PGK1|NUP62
GO:0006102,isocitrate metabolic process,0.00599015354741603,6,IDH1|IDH2
GO:0006109,regulation of carbohydrate metabolic process,0.0173006976293354,212,AKT1|EP300|MYC|TPR|TP53
GO:0006163,purine nucleotide metabolic process,0.000264148106151365,444,EP300|MYC|TPR|ACAT1|ACLY|ALDOA|PGK1|NUP62|ATIC|NME1-NME2|DLAT|MTHFD1
GO:0006164,purine nucleotide biosynthetic process,0.00349066524746588,198,MYC|ACAT1|ACLY|ALDOA|ATIC|NME1-NME2|DLAT|MTHFD1
GO:0006165,nucleoside diphosphate phosphorylation,0.000477896817102986,137,EP300|MYC|TPR|ALDOA|PGK1|NUP62|NME1-NME2
GO:0006259,DNA metabolic process,0.00026568025149982,956,AKT1|CTNNB1|EP300|MYC|NBN|TP53|NONO|GTF2I|RPS3|MDC1|SMC1A|LIG3|RFC1|HNRNPD|MTA2|TOP2A|HSPD1|SUPT6H
GO:0006281,DNA repair,0.025380141159498,568,EP300|NBN|TP53|NONO|GTF2I|RPS3|MDC1|SMC1A|LIG3|RFC1
GO:0006325,chromatin organization,0.00013291261154603,821,CTNNB1|EP300|MYC|HCFC1|ARID1B|TPR|CREBBP|TP53|FBL|JADE3|KMT2C|FOXA1|RTF1
GO:0006352,"DNA-templated transcription, initiation",0.0496392562605192,263,PTEN|CTNNB1|MYC|CREBBP|TP53
GO:0006739,NADP metabolic process,0.00442554566082533,35,IDH1|IDH2|TP53|G6PD
GO:0006740,NADPH regeneration,0.0436188163121085,18,IDH1|TP53|G6PD
GO:0006753,nucleoside phosphate metabolic process,0.000284846245846749,546,IDH2|EP300|MYC|TPR|ACAT1|ACLY|ALDOA|PGK1|NUP62|ATIC|NME1-NME2|DLAT|MTHFD1
GO:0006757,ATP generation from ADP,0.00289956257987488,119,EP300|MYC|TPR|ALDOA|PGK1|NUP62
GO:0006974,cellular response to DNA damage stimulus,0.000216702141549752,881,AKT1|EP300|MYC|SOD2|NBN|TP53|NONO|GTF2I|RPS3|HMOX1|MDC1|SMC1A|LIG3
GO:0006979,response to oxidative stress,0.000899382083865771,470,IDH1|AKT1|CTNNB1|SOD2|TP53|NONO|RPS3|HMOX1|G6PD
GO:0007059,chromosome segregation,0.00661846325487092,328,CTNNB1|PPP2R1A|TPR|RCC2|RPS3|CHAMP1|SMC1A|NUP62
GO:0007346,regulation of mitotic cell cycle,3.16324091046791e-06,665,AKT1|PTEN|CTNNB1|EP300|PPP2R1A|MYC|TPR|NBN|TP53|RCC2
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,0.00603513423698826,106,EP300|SOD2|TP53|RPS3|HMOX1
GO:0009117,nucleotide metabolic process,0.000239466874057568,538,IDH2|EP300|MYC|TPR|ACAT1|ACLY|ALDOA|PGK1|NUP62|ATIC|NME1-NME2|DLAT|MTHFD1
GO:0009132,nucleoside diphosphate metabolic process,0.00127206159048558,158,EP300|MYC|TPR|ALDOA|PGK1|NUP62|NME1-NME2
GO:0009135,purine nucleoside diphosphate metabolic process,0.00723726716204241,139,EP300|MYC|TPR|ALDOA|PGK1|NUP62
GO:0009150,purine ribonucleotide metabolic process,0.000233099122256468,407,EP300|MYC|TPR|ACAT1|ACLY|ALDOA|PGK1|NUP62|ATIC|NME1-NME2|DLAT
