term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000375,"RNA splicing, via transesterification reactions",2.61919350277372e-12,361,U2AF1|KHSRP|RBM39|SYNCRIP|THRAP3|PRDX6|HNRNPUL1|SRRT|NCL|KHDRBS3|RBMXL1|RALY|RBMX|SNRPD1|HNRNPH1|HNRNPK|PABPN1|SUGP1|SNRPB|HNRNPR|SNRNP200|HNRNPD|XAB2|SNRPA|RBM42|GPKOW|SNRNP70
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",1.9964195994866e-11,358,U2AF1|RBM39|SYNCRIP|THRAP3|PRDX6|HNRNPUL1|SRRT|NCL|KHDRBS3|RBMXL1|RALY|RBMX|SNRPD1|HNRNPH1|HNRNPK|PABPN1|SUGP1|SNRPB|HNRNPR|SNRNP200|HNRNPD|XAB2|SNRPA|RBM42|GPKOW|SNRNP70
GO:0000398,"mRNA splicing, via spliceosome",1.9964195994866e-11,358,U2AF1|RBM39|SYNCRIP|THRAP3|PRDX6|HNRNPUL1|SRRT|NCL|KHDRBS3|RBMXL1|RALY|RBMX|SNRPD1|HNRNPH1|HNRNPK|PABPN1|SUGP1|SNRPB|HNRNPR|SNRNP200|HNRNPD|XAB2|SNRPA|RBM42|GPKOW|SNRNP70
GO:0002181,cytoplasmic translation,0.00449318238889874,103,YBX3|EIF3I|RPL15|EIF2S2|EIF4EBP1|RPL13A|ETF1|TMA7|RPS28|DHX29
GO:0006325,chromatin organization,0.0169755497414109,821,CTNNB1|TPR|SAFB|NCOR1|CTCF|NPM1|CDK9|SSRP1|HMGN1|ARID1A|ATRX|SRCAP|BAZ1A|RERE|NASP|USP22|RIF1|AKAP8L|KMT2C|SUV39H1|ATXN7|SMARCD2|ASXL1|EPC1|RELA
GO:0006396,RNA processing,2.29298381115178e-16,963,U2AF1|AHNAK|KHSRP|RBM39|SAFB|NCOR1|EGFR|SYNCRIP|PUS7|CDK9|RPP38|THRAP3|PRDX6|HNRNPUL1|SRRT|ADAR|NCL|KHDRBS3|RBMXL1|RALY|RBMX|SNRPD1|HNRNPH1|HNRNPK|RPRD2|PABPN1|SUGP1|CCAR2|SNRPB|AKAP8L|WDR46|HNRNPR|SNRNP200|HNRNPD|SUV39H1|XAB2|SNRPA|TRMT1|RBM42|GPKOW|SNRNP70|RPS28|SUGP2|NOB1|NSUN2|NOLC1|ZC3H3|ADARB1|TRA2B|SUPT5H|GAR1
GO:0006397,mRNA processing,1.48995641467254e-15,533,U2AF1|KHSRP|RBM39|SAFB|SYNCRIP|CDK9|THRAP3|PRDX6|HNRNPUL1|SRRT|ADAR|NCL|KHDRBS3|RBMXL1|RALY|RBMX|SNRPD1|HNRNPH1|HNRNPK|RPRD2|PABPN1|SUGP1|CCAR2|SNRPB|AKAP8L|HNRNPR|SNRNP200|HNRNPD|XAB2|SNRPA|RBM42|GPKOW|SNRNP70|SUGP2|ZC3H3|ADARB1|TRA2B|SUPT5H
GO:0006401,RNA catabolic process,0.000411233159966733,420,AKT1|IGF2BP1|KHSRP|SYNCRIP|YBX3|NPM1|THRAP3|SLIRP|RNASEH1|RPL15|SMG9|RPL3|HNRNPR|HNRNPD|RPL13A|YWHAZ|ETF1|RPS28|NSUN2|PSMD7|ANP32A
GO:0006402,mRNA catabolic process,0.00919296499752411,381,AKT1|IGF2BP1|KHSRP|SYNCRIP|YBX3|NPM1|THRAP3|RPL15|SMG9|RPL3|HNRNPR|HNRNPD|RPL13A|YWHAZ|ETF1|RPS28|PSMD7|ANP32A
GO:0006403,RNA localization,0.0247801985737101,239,U2AF1|TPR|IGF2BP1|KHSRP|NPM1|NUP210|PABPN1|AKAP8L|CCT2|NXF2|NXF2B|NSUN2|ZC3H3
GO:0006412,translation,2.53036124667587e-06,754,AKT1|TPR|IGF2BP1|KHSRP|EGFR|SYNCRIP|YBX3|NPM1|PUS7|NCL|EIF3I|MRPS30|CAPRIN1|RPL15|EIF2S2|EIF4EBP1|RPL3|MRPL39|TUFM|EIF4G2|HNRNPR|LSM14A|LTN1|HNRNPD|RPL13A|FARSA
