term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000070,mitotic sister chromatid segregation,0.0032962082000501,158,KIF14|ATRX|TPR|ANAPC1|NUP62|DLGAP5|RAD21|ESPL1|RB1|NUMA1|SMC1A|CENPF|BUB1B|NCAPG2|NUSAP1|XRCC3|CUL3|TRIP13|APC|TTK|KIF23|MAD1L1|NCAPH2|VPS4A|PINX1|ANAPC5|CENPC|CHMP1A|NCAPG|NEK6|KIF18A|INCENP|HNRNPU|IK|PLK1|CDC26|CHMP4C|CHMP7|CENPE|NCAPD2|LCMT1|PRC1|VPS4B|TACC3|SLF2
GO:0000075,cell cycle checkpoint,0.0489991331701199,220,TP53|HRAS|CCND1|TOP2A|EP300|TP53BP1|TPR|TIMELESS|TOP2B|GIGYF2|PPP1R10|RB1|RBL2|ETAA1|CENPF|CLSPN|EME1|BRCA1|BUB1B|DTL|HORMAD1|BRCC3|ATF2|XRCC3|NBN|TRIP13|APC|TTK|CDC5L|MAD1L1|BLM|VPS4A|BRSK1|PRCC
GO:0000086,G2/M transition of mitotic cell cycle,0.000669486880711392,260,CCND1|KIF14|CDK4|PCM1|PCNT|NES|LATS1|AVEN|RAD21|BACH1|RAD51C|CEP131|DYNC1H1|CENPF|BRSK2|SIN3A|CLSPN|PSMA2|HSPA2|ALMS1|DCTN1|BRD4|BRCA1|CDC7|KHDRBS1|DTL|NEDD1|PSMD14|CEP192|CEP135|PSMB4|NBN|PKMYT1|PRKACA|BLM|CEP164|VPS4A|BRSK1|CEP290|PINX1|HAUS5|PSMD3|SKP2|PSMB2|OPTN|PSMA7|PBX1|TAOK2|ARPP19|CLASP1|PLK1|MELK|CNTRL|PSMD1|CHEK2|FBXL6|CHMP4C|CENPJ|PSMD2|LCMT1|TAF2|VPS4B|HAUS8|MAPRE1|CDC25A|STOX1|CDKN1A
GO:0000122,negative regulation of transcription by RNA polymerase II,1.10486555224198e-11,875,CTNNB1|TP53|CCND1|CIC|AHR|NCOR1|ATRX|SUZ12|HSPA1A|NKAP|IRF2BPL|RIF1|TAF3|EP300|DNMT1|OTUD7B|CTCF|TPR|PARP1|STAT3|IRF3|SP100|HIVEP1|GCFC2|EZH2|TIMELESS|HCFC1|HBP1|KLF5|SOX13|NOTCH3|IGHMBP2|FOXK1|ZNF281|TRPS1|ATF7IP|ZBTB20|HSF4|LYAR|MEPCE|FOXC1|NSD1|FNIP1|NRIP1|RBM10|BACH1|ARID1A|TFAP2A|ZFHX3|RB1|TBL1X|SPEN|FOXK2|RARA|WWC1|ZEB1|NOTCH1|YEATS2|TRIM33|FOXO3|CUX1|BCOR|SIN3A|CHD8|CDK6|GATA1|ZNF746|MED1|NFATC2|NCOR2|MEF2A|WT1|ZEB2|UBC|HDAC5|MLX|DAB2|TAF1|SMAD3|KHDRBS1|FOXO1|NOTCH2|HDAC7|CC2D1B|SOX6|SREBF1|NR2F6|ESR1|URI1|ZBTB7A|SMARCC2|MYPOP|CNBP|NFATC4|PPP1R13L|TBR1|ATF2|ZNF451|CC2D1A|POU5F1|CUL3|E2F5|NR1H4|CAV1|BBX|PPID|AEBP2|SIRT2|KDM5A|ZNF136|ZNF608|BEND3|APBB1|ZNF431|ZNF239|SRF|ETV3|ARID5B|YBX3|CD36|NFATC3|CIR1|MTA1|ETV6|PER1|ZNF354B|ZNF85|DRD3|KAT5|SUPT5H|ATF4|TRPV1|CBX8|IRF7|ZNF140|PROX1|SMAD2|BCL6|HDAC1|C1QBP|RELA|HNRNPU|RREB1|EAPP|PHF14|ZNF219|SDR16C5|TFEC|NFX1|DACT1|RUNX1|PLK1|IRF2|HEXIM1|LRRFIP1|ZNF148|DNAJB1|ZBTB14|SMO|RFX5|ID3|HDAC10|FLCN|ERF|TRPV4|MSX1|MYOCD|FHL2|ZC3H8|DEAF1|IRX1|SOX15|JARID2|ZNF141|SOX8|HES1|TBX5|ENO1|PSEN1|GLIS2|TBX2|DMAP1|NCK1|ZFPM1|SP3|DRAP1|NOC2L|ESR2|HOXB3|BPTF|ZHX2|PIAS1|TRIM28|ZNF205|GATA6|CREBBP|KLF16|TWIST1
GO:0000165,MAPK cascade,6.7604823801884e-05,950,BRAF|CTNNB1|NRAS|EGFR|HRAS|ERBB2|KIT|SPTAN1|MET|RAF1|SPTBN1|MAP2K1|NCOR1|PTPN22|AKAP13|PTEN|KIDINS220|RAPGEF1|ACTN2|MAP3K4|ZFP36L2|AKAP12|IRS1|MAP2K2|ARHGEF5|SH3RF1|NUP62|IRS2|IQGAP1|FLT4|EZH2|ROBO1|ROCK2|FPR2|RAPGEF2|SPTBN2|SPTA1|ARAF|MAPK8IP1|SHANK3|SEMA6A|HGS|SH2D3C|ALK|CDH2|WWC1|NOTCH1|ADRA2C|MAP3K5|SYK|MID1|PSMA2|MAP4K1|MED1|TIAM1|MEF2A|FLT3|ZEB2|UBC|SH3RF3|ABL1|FOXO1|PAK3|NOTCH2|IGFBP3|FBXW7|IRAK3|PABPN1|LGALS9|MAPKAPK2|ITPKB|PIK3R2|BRAP|FZD10|PSMD14|RASGRP4|MAP4K2|PIK3CB|RB1CC1|PSMB4|MINK1|RASAL3|GFRA1|CUL3|OPRM1|DVL2|MAGED1|CAV1|DMD|DUSP8|CRYAB|NF1|SPAG9|CASR|ERRFI1|LIME1|PRKCZ|NEFL|TAB3|MAPK6|RASSF2|RANBP9|LRRK2|NCF1|CD74|IKBKG|DOK4|STK3|PJA2|FGG|PSMD3|PPP2CA|FGFR4|PTPN6|PTPN11|CD36|JAK2|TP73|PSMB2|YWHAZ|MAP4K3|IRAK1|MAP3K3|SPRY4|MAPK11|PTGER4|PER1|SOS1
GO:0000186,activation of MAPKK activity,0.0127468583335597,53,BRAF|EGFR|RAF1|KIDINS220|RAPGEF1|MAP3K4
GO:0000226,microtubule cytoskeleton organization,4.03090483347926e-11,594,CTNNB1|MET|MAP1A|NCOR1|CAMSAP1|RHOA|PCM1|PCNT|CAMSAP3|ATRX|RAC1|MYH9|HSPA1A|HSPA1B|TPR|MAP1B|ASPM|PARD3|FMN2|NUP62|SPICE1|NAV1|CCDC120|ROCK2|SPIRE1|TUBGCP6|BRCA2|SLK|KIF3B|CLIP2|ESPL1|DST|NUMA1|TUBB3|CLASP2|SMC1A|MYBL2|CEP131|SLAIN2|DYNC1H1|MAP4|CCDC88C|BRSK2|MID1|PKD2|ALMS1|DCTN1|GCC2|ABL1|PHLDB2|VCP|BRCA1|RBM14|CLIP1|BCAS3|SENP6|CCDC88B|TRIM36|SETD2|FLNA|NUSAP1|SIK3|APC2|CEP192|HOOK1|CEP135|FER|STIL|NIN|XRCC3|BCCIP|TUBB2A|APC|TTK|KIAA1614|CRYAB|CLTC|SPAG1|EML4|KIF23|DNAH5|PRKCZ|STMN1|NEFL|FSIP2|FKBP4|RANBP9|BRSK1|SYNE2|CCDC170|MAP6|HAUS5|MAP7D1|RPAP3|PDCD6IP|SMC3|DNAH1|TUBA3E|CHMP1A|NEK6|RSPH4A|CDK5|INPP5J|KIF18A|KIAA0753|INCENP|KIF2B|CEP68|CRMP1|NPM1|TUBB8|HNRNPU|EPHA3|LIMK2|CLASP1|PLK1|WDR62|MARK2|CHEK2|CCDC65|KATNA1|HYDIN|TRPV4|ARL2|CHMP4C|MAP1S|GAS2|KATNAL2|CENPJ|CENPE|SAXO1|SKA3|LLGL1|MLH1|PRC1|VPS4B|HAUS8|RAE1|MAPRE1|CEP295|TACC3|CENPA|USP33|RTTN|SPRY2|HDAC6|STAG1|DNAAF1
GO:0000280,nuclear division,1.64804923686294e-05,424,KIF14|CDK13|RHOA|ATRX|HSPA1A|TOP2A|HSPA1B|TPR|ANAPC1|ASPM|FMN2|NUP62|SPICE1|SPIRE1|KIF20B|TOP2B|MKI67|BRCA2|KIF3B|ACTR3|DLGAP5|RAD21|SLX4|ESPL1|RB1|MYBL1|RAD51C|NUMA1|PHIP|CLASP2|SMC1A|MYBL2|CENPF|RAD51|RAD50|HSPA2|WAPL|EME1|PDE3A|BUB1B|NCAPG2|HORMAD1|TOM1L2|FLNA|NUSAP1|CEP192|XRCC3|BCCIP|DAPK3|CUL3|TRIP13|APC|TTK|TAF1L|SIRT2|PKMYT1|KIF23|MAD1L1|NCAPH2|AURKAIP1|BAG6|VPS4A|PINX1|EPS8|ANAPC5|SMC3|CENPC|CHMP1A|NCAPG|NEK6|HFM1|DRD3|KIF18A
GO:0000281,mitotic cytokinesis,0.0167709511416413,76,SPTBN1|RHOA|NUP62|USP8|ROCK2|KIF20B|ESPL1|CIT|ZFYVE26|TRIM36|NUSAP1|APC|KIF23|STMN1|VPS4A|PDCD6IP|CHMP1A|INCENP|MYH10|PLK1|CHMP4C|CHMP7|SNX33|PRC1|VPS4B|CENPA
GO:0000375,"RNA splicing, via transesterification reactions",8.24366395682014e-07,361,U2AF1|PCBP1|CDK13|HNRNPH1|POLR2B|DDX42|GCFC2|SRRM2|RBM39|RBM5|CWC27|SRSF6|DHX9|PRPF4B|SF3A2|FXR1|RBM10|NCL|CWF19L2|SPEN|U2SURP|CSTF2T|PSIP1|RALY|WTAP|DDX1|KHDRBS1|NCBP1|ZCCHC8|PABPN1|PPIL3|FXR2|RBMX2|PHF5A|PLRG1|ZBTB7A|SNRNP200|CPSF1|ELAVL1|HNRNPR|CDC5L|FIP1L1|RBM15|HNRNPC|POLR2C|PRCC|SF3B3|CD2BP2|SRSF11|SRRM1|PPIL1|EFTUD2|HTATSF1|KHSRP|SNRNP70|SNRPD3|SRSF7|RSRC1|MFAP1|DDX46|GTF2F1|COIL|XAB2|GTF2F2|C1QBP|HNRNPU|IK|RBM7|TRA2B|SRRT|RBMXL3|ELAVL2|SCAF11|FAM172A|BUD13|SRPK2|DAZAP1|PUF60|DNAJC8|HNRNPUL1|WDR33|MYOD1|HNRNPH3|PRPF40A|DHX16|SNRNP40|RBM4|KHDRBS3|HSPA8|RBM4B|SRPK1|CPSF3|LARP7|KDM1A
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",1.1916186066766e-06,358,U2AF1|PCBP1|CDK13|HNRNPH1|POLR2B|DDX42|GCFC2|SRRM2|RBM39|RBM5|CWC27|SRSF6|DHX9|PRPF4B|SF3A2|FXR1|RBM10|NCL|CWF19L2|SPEN|U2SURP|CSTF2T|PSIP1|RALY|WTAP|DDX1|KHDRBS1|NCBP1|ZCCHC8|PABPN1|PPIL3|FXR2|RBMX2|PHF5A|PLRG1|ZBTB7A|SNRNP200|CPSF1|ELAVL1|HNRNPR|CDC5L|FIP1L1|RBM15|HNRNPC|POLR2C|PRCC|SF3B3|CD2BP2|SRSF11|SRRM1|PPIL1|EFTUD2|HTATSF1|SNRNP70|SNRPD3|SRSF7|RSRC1|MFAP1|DDX46|GTF2F1|COIL|XAB2|GTF2F2|C1QBP|HNRNPU|IK|RBM7|TRA2B|SRRT|RBMXL3|ELAVL2|SCAF11|FAM172A|BUD13|SRPK2|DAZAP1|PUF60|DNAJC8|HNRNPUL1|WDR33|MYOD1|HNRNPH3|PRPF40A|DHX16|SNRNP40|RBM4|KHDRBS3|HSPA8|RBM4B|SRPK1|CPSF3|LARP7|KDM1A
GO:0000398,"mRNA splicing, via spliceosome",1.1916186066766e-06,358,U2AF1|PCBP1|CDK13|HNRNPH1|POLR2B|DDX42|GCFC2|SRRM2|RBM39|RBM5|CWC27|SRSF6|DHX9|PRPF4B|SF3A2|FXR1|RBM10|NCL|CWF19L2|SPEN|U2SURP|CSTF2T|PSIP1|RALY|WTAP|DDX1|KHDRBS1|NCBP1|ZCCHC8|PABPN1|PPIL3|FXR2|RBMX2|PHF5A|PLRG1|ZBTB7A|SNRNP200|CPSF1|ELAVL1|HNRNPR|CDC5L|FIP1L1|RBM15|HNRNPC|POLR2C|PRCC|SF3B3|CD2BP2|SRSF11|SRRM1|PPIL1|EFTUD2|HTATSF1|SNRNP70|SNRPD3|SRSF7|RSRC1|MFAP1|DDX46|GTF2F1|COIL|XAB2|GTF2F2|C1QBP|HNRNPU|IK|RBM7|TRA2B|SRRT|RBMXL3|ELAVL2|SCAF11|FAM172A|BUD13|SRPK2|DAZAP1|PUF60|DNAJC8|HNRNPUL1|WDR33|MYOD1|HNRNPH3|PRPF40A|DHX16|SNRNP40|RBM4|KHDRBS3|HSPA8|RBM4B|SRPK1|CPSF3|LARP7|KDM1A
GO:0000819,sister chromatid segregation,3.09810124301704e-06,189,CTNNB1|KIF14|ATRX|TOP2A|CTCF|TPR|ANAPC1|NUP62|LATS1|TOP2B|DLGAP5|ESCO1|RAD21|ESPL1|RB1|RAD51C|NUMA1|SMC1A|CENPF|WAPL|BUB1B|NCAPG2|FBXW7|HORMAD1|NUSAP1|XRCC3|CUL3|TRIP13|APC|TTK|KIF23|MAD1L1|NCAPH2|VPS4A|PINX1|ANAPC5|SMC3|CENPC|CHMP1A|NCAPG|NEK6|KIF18A|INCENP|HNRNPU|IK|PLK1|CDC26|AXIN2|CHMP4C|CHMP7|CENPE|NCAPD2|LCMT1|PRC1|VPS4B|TACC3|STAG1|SLF2
GO:0000904,cell morphogenesis involved in differentiation,5.93833552906319e-16,764,BRAF|CTNNB1|ERBB2|SPTAN1|MET|MAP1A|SPTBN1|MAP2K1|KIF14|RHOA|CTNND2|RAC1|MYH9|PTEN|KIDINS220|FLNB|EP300|TANC2|KIF1A|MAP1B|SIPA1L1|LMTK2|ULK1|PARD3|IRS2|ROBO1|LATS1|RAPGEF2|SPTBN2|NOTCH3|VASP|SPTA1|ITGB7|TOP2B|SIPA1L3|DBN1|GAB1|FARP1|TIAM2|SHANK3|RB1|SEMA6A|CDH2|COBL|NOTCH1|ALS2|SHANK2|TUBB3|PLXNB2|TNN|GOLGA4|DOCK1|CAMK2A|CUX1|LAMB1|CCDC88C|BRSK2|SIN3A|TRPC6|UNK|DOCK10|OPHN1|GATA1|TIAM1|MEF2A|ZEB2|RAPH1|LIMK1|GRB10|PREX1|EEF2K|ABL1|TRAK1|STK11|SEC24B|PAK3|NOTCH2|TACSTD2|KNDC1|CHRNA3|FLNA|ARHGAP44|PLCG1|CACNA1A|NEDD9|NFATC4|ACTN1|FER|NIN|PIK3CB|TBR1|SH3KBP1|MINK1|GFRA1|CUL3|BSG|SPG11|FAT1|MYPN|HPRT1|ZSWIM8|WDR1|CORO1C|HSP90AB1|STMN1|XK|NEFL|SCRIB|DCLK1|APBB1|DNM1L|RTN4|LAMA3|SRF|VCL|PEAK1|RANBP9|BRSK1|LRRK2|DOK4|ADNP|CAPRIN2|FGG|MAP6|MYCBP2|PTPN6|PTPN11|DMTN|RAB8A|TWF2|ITGB3|GRHL2|RAP1GAP|SOS1|KEL|CDK5|L1CAM|ATF4|FRMD6|MYH10|CRMP1|PROX1|SEMA3B|GORASP1|ADGRB1|C1QBP|TAOK2|RREB1|LHX3|EPHA3|DOK2|ACTR2|CRYGB|RAB1A|MYOT|SMO|MARK2|MICALL2|DOK1|SPTB|LRP1|MAP1S|DOK6|FERMT2|STXBP1|HECW1|TMEFF1|TRPV2|CYFIP1|ITPKA|RAP2A|CASP3|FN1|NGFR|HES1|ISL2|DBNL|PSEN1
GO:0000910,cytokinesis,0.000135165810668691,175,SPTBN1|KIF14|RHOA|MYH9|BIRC6|AHCTF1|FMN2|NUP62|USP8|ROCK2|SVIL|SPIRE1|KIF20B|BRCA2|KIF3B|ACTR3|PKN2|ESPL1
GO:0001568,blood vessel development,0.0403773374413854,807,CTNNB1|ERBB2|NFE2L2|MYLK|AHR|MAP2K1|RHOA|MIA3|MYH9|PTEN|RAPGEF1|PGK1|STAT3|SLC12A2|SP100|RASIP1|FLT4|ROBO1|ROCK2|RAPGEF2|KLF5|NOTCH3|GTF2I|FOXC1|GAB1|ARID1A|PDPK1|NCL|SEMA6A|HGS|CDH2|MIB1|NOTCH1|SHB|DYSF|PCSK5|COL1A2|PTPRB|SYK|EPAS1|ATP7A|AMOTL1|PKD2|MED1|GNA13|CHD7|CLEC14A|WT1|HECTD1|HDAC5|S1PR1|ABL1|AMOTL2|BRCA1|SEC24B|FOXO1|NOTCH2|PRKD1|FBXW7|HDAC7|EYA1|BCAS3|NR4A1|COL4A2|SETD2|PIK3R3|PLCG1|NFATC4|ADAM15|PIK3CB|ATF2|SMAD6|TMIGD2
GO:0001701,in utero embryonic development,0.000274151232465186,369,CTNNB1|TP53|EGFR|MAP2K1|SUPT6H|MYH9|KIDINS220|BIRC6|TANC2|KRT8|MYH6|APBA2|ANKRD11|LATS1|HCFC1|BRCA2|FOXC1|MIB1|NOTCH1|ALS2|BCOR|RBBP6|SIN3A|EPAS1|CASP8|ATP7A|CHD8|NASP|PKD2|GATA1|MED1|GNA13|CHD7|SEC24C|SMAD3|NOTCH2|NCAPG2|SOX6|ACVR1B|HORMAD1|SETD2|SEC24D|PLCG1|STIL|NBN|POU5F1|CUL3
GO:0001738,morphogenesis of a polarized epithelium,0.0409187286968772,148,RHOA|CAMSAP3|MYO9A|RAC1|DLG5|MSN|BRSK2|PSMA2|OPHN1|TIAM1|ARHGEF19|DAB2|ABL1|SEC24B|AHI1|PSMD14|PSMB4|DVL2|FAT1|CLTC|WDR1|CELSR1|SCRIB|LAMA3|BRSK1|PSMD3|PSMB2|ACTG1
