term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000018,regulation of DNA recombination,0.00152395619029321,105,RAD50|STAT6|TFRC|KPNA2|ERCC2|SETD2|ARID2|BLM|ATAD5|SMARCAD1|CD28|SUPT6H|THOC1|ERCC6|MAGEF1|FIGNL1|WRN|TIMELESS|KPNA1|MSH6|KLHL15
GO:0000070,mitotic sister chromatid segregation,8.28283054289233e-11,158,ATM|PPP2R1A|CENPF|TTK|ANAPC1|SMC2|NCAPD2|NCAPD3|NUMA1|AKAP8L|KIF4B|NIPBL|SMC1A|KIF18A|CDK5RAP2|CENPE|CHAMP1|CENPC|ATRX|ANAPC7|NCAPG2|BUB1|PDS5A|CDT1|SLF1|CHMP2B|RAD21|BUB1B|ESPL1|NDC80|DCTN2|DIS3L2|GEN1|TUBG1|IK|HIRA|KIF14|KIFC1
GO:0000075,cell cycle checkpoint,0.0133463459275311,220,ATM|CENPF|TTK|ATR|TOP2B|BRCA1|RINT1|CDK5RAP2|TP53|NBN|CASP2|BLM|E2F1|ATRIP|BUB1|CEP63|CDT1|THOC5|BUB1B|AURKA|THOC1|ORC1|NSUN2|ERCC6
GO:0000082,G1/S transition of mitotic cell cycle,0.000316947090152272,283,AKT1|EGFR|ATM|CDK4|POLA1|CUL1|PHF8|RDX|TP53|CACUL1|CASP2|PIAS1|E2F1|MCM4|EIF4EBP1|CDT1|PTPN6|MAX|CUL2|RPA1|AURKA|TYMS|ORC1|RPTOR|CDC73|MCM10|NPAT|EIF4E|PPP6C|CDC7|ANKRD17|DHFR|PPP3CA|POLE2|CDC25A|TFDP1|POLE|APPL1|KIF14|ORC4|PLRG1
GO:0000086,G2/M transition of mitotic cell cycle,3.5158731657794e-11,260,ATM|PPP2R1A|CENPF|CDK4|DCTN1|DYNC1H1|CUL1|RCC2|BRCA1|CEP135|RINT1|CDK5RAP2|HMMR|ALMS1|NBN|PCM1|ODF2|BLM|CEP250|CENPJ|TUBB4A|HAUS8|PSMD2|RAD51C|CEP63|YWHAE|MASTL|RAD21|AURKA|CEP72|CEP57|ORC1|DNM2|TUBA1A|TAF2|CDC7|DCTN2|CDC25A|PSMA4|TUBG1|HAUS7|PSMD13|ABCB1|KIF14|HAUS5|CEP131|TPX2|ZFYVE19|DTL|RAD17|PKMYT1|FBXL17|PSME4|VPS4B
GO:0000209,protein polyubiquitination,5.74303364677418e-06,340,CTNNB1|ANAPC1|RNF213|CUL1|TRIP12|RNF31|UBR5|BRCA1|HECTD1|HERC5|LMO7|TNKS2|TRIM32|DZIP3|TRIM34|TRAF2|UBE2S|UBE3A|PELI3|PTPN22|ANAPC7|MKRN1|SPOP|PSMD2|WWP1|NMI|NPEPPS|UBC|TRAF6|FBXL20|TRIM21|UBE3C|UBE2V2|RBBP6|HERC6|FBXL4|ZFP91|RLIM|WSB1|PSMA4|UBA52|THOP1|PSMD13|HUWE1|ANKRD39|DDB2|RNF40|SHARPIN|DTL|FBXL17|PSME4|RNF125|RNF144A|PSMD12|MGRN1
GO:0000212,meiotic spindle organization,0.00191741897217222,15,PPP2R1A|ASPM|ATRX|MYH9|GOLGA2|AURKA|ESPL1|TUBG1
GO:0000226,microtubule cytoskeleton organization,1.17748620080068e-06,594,CTNNB1|PPP2R1A|TTK|ROCK2|BRCA2|DCTN1|DYNC1H1|ASPM|NUMA1|DNAAF5|NIN|MYBL2|TRIM46|KIF4B|SPICE1|SMC1A|LIMK2|BRCA1|CEP135|KIF18A|CDK5RAP2|HTT|CENPE|ATRX|ALMS1|SBDS|FLNA|CUL9|PCM1|SETD2|ODF2|CEP250|CENPJ|TUBB4A|LLGL1|CLTC|ARHGEF2|HAUS8|CEP63|MYH9|TUBA1C|SYNE2|IQCG|DST|DVL1|CHMP2B|GOLGA2|AURKA|CEP72|KIF20A|ESPL1|MARK2|CEP57|SMC3|FIGNL1|TUBA1A|RANBP9|NDC80|ROCK1|CHORDC1|DCTN2|NCOR1|GEN1|BICD2|TUBG1|HAUS7|NPM1|LRRC49|MET|KIFC1|HAUS5|FKBP4|CEP131|TPX2|MZT1|TUBA3C|CCDC88C|LMNA|VPS4B|CEP295
GO:0000245,spliceosomal complex assembly,0.000866935177829844,58,SF3B1|PSIP1|SNRNP200|SF3A3|SETX|SLU7|PRPF6|SRSF1|SRPK2|GCFC2|CRNKL1|USP39|SF3A2|SF3A1|NCBP1
GO:0000280,nuclear division,1.10928888238002e-10,424,ATM|PPP2R1A|CENPF|TTK|ANAPC1|RAD50|SMC2|BRCA2|MKI67|NCAPD2|ASPM|NCAPD3|NUMA1|AKAP8L|MYBL2|KIF4B|NIPBL|TOP2B|SPICE1|SMC1A|PDE3A|KIF18A|TDRD9|CDK5RAP2|CENPE|CHAMP1|CENPC|ATRX|INSR|FLNA|CUL9|UBE2S|ANAPC7|NCAPG2|BUB1|PDS5A|RAD51C|CD28|CDT1|CTDP1|ERCC4|MASTL|SLF1|CHMP2B|RAD21|BUB1B|GOLGA2|AURKA
