term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000018,regulation of DNA recombination,0.0140183541974004,105,MLH1|RIF1|SETD2|BLM|TP53BP1|MMS19|MSH2|ATAD5|THOC1|ERCC6|RPA2|ARID2|MAD2L2|TNFSF4|TIMELESS|SUPT6H|TERF2IP|SPIDR|CD40|MAGEF1|RAD51|SMCHD1|UBQLN4|POLQ|MSH3|SMARCAD1|TERF2|KPNA2|HELB|KPNA1|KDM1A|ZNF711|PTPRC
GO:0000070,mitotic sister chromatid segregation,5.73586757423695e-05,158,ATM|TPR|CENPF|BUB1|TRIP13|GEN1|MAU2|SMC4|NIPBL|KIF18A|ANAPC1|KIF14|NCAPD3|RB1|CHMP4C|PINX1|NUMA1|BUB1B|NCAPD2|KIF2C|WRAP73|KIF23|SMC1A|RACGAP1|SMC5|APC|MAD2L2|NDC80|TACC3|CENPE
GO:0000075,cell cycle checkpoint,5.44295742992476e-08,220,TP53|ATM|TPR|MDC1|CNOT2|CENPF|BUB1|BRCA1|TRIP13|GIGYF2|CRADD|GEN1|TICRR|RAD9A|BLM|TNKS1BP1|CDC5L|DLG1|RB1|CHMP4C|TP53BP1|WDR76|TAOK1|DONSON|MSH2|DOT1L|BUB1B|EP300|RBL2|THOC1|ERCC6|RPA2|TOPBP1|APC|MAD2L2|NDC80|ETAA1|ZNF830|TIMELESS|BCL2L1|CCND1|DDX39B|HRAS|CASP2|DYNC1LI1|SPDL1|NBN|BABAM1|TFDP2|NAE1|AURKA|FOXO4|PTPN11|UIMC1|GTSE1|TOP2A|TOP2B|CHFR|DTL|ORC1|CDC25C|XPC|PEA15|FBXO6|MAPK14
GO:0000077,DNA damage checkpoint,0.000552756954808316,150,TP53|ATM|MDC1|CNOT2|BRCA1|GIGYF2|CRADD|TICRR|RAD9A|BLM|TNKS1BP1|CDC5L|TP53BP1|WDR76|TAOK1|DONSON|MSH2|DOT1L|EP300|RBL2|THOC1|ERCC6|RPA2|TOPBP1|ETAA1|ZNF830|CCND1|DDX39B|CASP2|NBN|BABAM1|TFDP2|AURKA|FOXO4|PTPN11|UIMC1|GTSE1|DTL|CDC25C|XPC|PEA15|FBXO6|MAPK14
GO:0000082,G1/S transition of mitotic cell cycle,0.00659386356452853,283,EZH2|TP53|AKT1|PTEN|EGFR|ATM
GO:0000086,G2/M transition of mitotic cell cycle,3.83810316619231e-05,260,ATM|CKAP5|SIN3A|DYNC1H1|CENPF|ODF2|PSMC5|CNTRL|DCTN1|CEP250|BRCA1|TICRR|APP|BLM|PSMD5|DNM2|NES|CENPJ|USP47|PSMC3|KIF14|CHMP4C|TAOK1|PLK4|DONSON|PINX1|FBXL17|NINL|PSMC4|TOPBP1|PSMB8|PCM1|ZNF830|CEP164|MASTL|PCNT|PSMD12|CCND1|PAFAH1B1|CCNB2|PPME1|NBN|MNAT1|STOX1|BRD4|NAE1|CCP110|CEP41|AURKA|ALMS1|FOXO4|RBX1|HAUS3|LATS1|CEP131|PSMF1|HAUS5|CDK4|DTL|ORC1|CDC25C|PPP1R12A|CEP70|PSMD14|ABCB1|RCC2|CEP76|TAOK3|CALM1|FBXL7|PSMC6|YWHAG
GO:0000122,negative regulation of transcription by RNA polymerase II,3.20017687232347e-05,875,CTNNB1|EZH2|TP53|BCOR|NCOR2|FOXO1|CHD8|STAT3|HIVEP1|TPR|SPEN|STAT1|CCND3|JARID2|SMARCA4|CNOT2|NOTCH1|SIN3A|CIC|RIF1|FGFR1|PARP15|SP100|USP2|XPO1|KAT5
GO:0000165,MAPK cascade,0.00310763260114794,950,CTNNB1|BRAF|EZH2|NRAS|FOXO1|AKT1|PTEN|EGFR|MINK1
GO:0000186,activation of MAPKK activity,0.0219320412818096,53,BRAF|EGFR|ADAM9|RAF1|MAP3K1|NRK|KIDINS220|MAP3K8
GO:0000226,microtubule cytoskeleton organization,2.25193397944638e-08,594,CTNNB1|MYH9|CKAP5|TPR|NAV3|SYNE2|BRCA2|ASPM|CEP350|DYNC1H1|MLH1|ODF2|ROCK1|XPO1|MAP1B|CEP295|SETD2|DCTN1|CAMSAP3|CEP250|BRCA1|GEN1|KIF20A|CUL9|GCC2|RNF19A|PKD2|CRMP1|HOOK3|ARMC4|NAV1|DLG1|CENPJ|FLNA|EML4|KIF18A|IFT172|EFHC1|CHMP4C|TAOK1|PLK4|NCKAP5L|FER|TTLL5|NUMA1|BCAS3|NINL|CCDC88C|CUL7|CROCC|TUBB2A|STIL|KIF2C|WRAP73|RP1|KIF23|SIK3|SMC1A|CLASP2|SPATA7|RACGAP1|SLK|RHOA|SPAST|APC|CLTC|PCM1|NDC80|PHLDB1|ROCK2|SBDS|TACC3|MCPH1|CENPE|NIN|ARHGEF10|PCNT|DISC1|MAPT|CAMSAP1|INPP5J|PARD3|PAFAH1B1|DRG1|PIBF1|LLGL1|RMDN1|SKA1|TTLL3|MAP7D3|KIF2B|DYNC1LI1|SPDL1|MZT1|GAS2L2|SSX2IP|MAP7D2|TACC1|PRKAA1|NEFH|SPIRE2|TRIM54|MAP7D1|CCP110|CEP97|PEX14|AURKA|ARHGEF2|ALMS1|HAUS3|CLIP4|CFAP74|BCCIP|TUBGCP2|WDR62|HNRNPU
