term.id,term.name,adjusted.p.val,term.size,overlap
GO:0001701,in utero embryonic development,0.0197647907771559,369,MSH2|MFN2|SMAD4|TPM1|SOX10|ACTL6A|MYH9|CUL3|GATA3
GO:0002009,morphogenesis of an epithelium,0.011610872563726,566,PTEN|KRT17|KRT6A|KRT12|KRT16|MTHFD1|SMAD4|SOX10|ACTB|KRAS|GATA3
GO:0003208,cardiac ventricle morphogenesis,0.047544840781484,72,SMAD4|TPM1|MYL3|GATA3|TNNC1
GO:0006094,gluconeogenesis,0.0294123385676658,91,SLC25A1|PGK1|GOT2|GPD2|MDH1
GO:0006734,NADH metabolic process,0.0422000579630317,44,VCP|PGK1|GPD2|MDH1
GO:0007507,heart development,0.0441434233515763,595,PTEN|PTPN11|MTHFD1|LMNA|SMAD4|TPM1|MYL3|RB1
GO:0009725,response to hormone,0.0439561252734464,933,PTEN|PTPN11|HADHA|YWHAG|SOX10|ACTA1|GOT2|CALM3|ASNS|KRAS|GJB2|ACAT1|GATA3
GO:0019319,hexose biosynthetic process,0.0345172582599874,94,SLC25A1|PGK1|GOT2|GPD2|MDH1
GO:0030049,muscle filament sliding,0.00213439622361811,39,TPM3|TPM1|MYL3|ACTA1|TNNC1
GO:0030216,keratinocyte differentiation,0.0468073691815602,306,KRT17|KRT6A|KRT12|KRT16|KRT2|KRT10|BCL11B
GO:0031424,keratinization,0.0309558812408347,224,KRT17|KRT6A|KRT12|KRT16|KRT2|KRT10
GO:0033275,actin-myosin filament sliding,0.00213439622361811,39,TPM3|TPM1|MYL3|ACTA1|TNNC1
GO:0043588,skin development,0.0405742894294988,429,KRT17|KRT6A|KRT12|KRT16|SMAD4|KRT2|KRT10|BCL11B
GO:0043650,dicarboxylic acid biosynthetic process,0.0238945378173587,14,GLUD1|MTHFD1|GOT2
GO:0046364,monosaccharide biosynthetic process,0.0468073691815602,100,SLC25A1|PGK1|GOT2|GPD2|MDH1
GO:0048729,tissue morphogenesis,4.18820562965757e-05,678,PTEN|KRT17|KRT6A|KRT12|KRT16|MTHFD1|SMAD4|TPM1|MYL3|SOX10|ACTA1|ACTB
GO:0048732,gland development,0.0119783179546756,452,PTEN|SMAD4|SOX10|GOT2|BCL11B|ASNS|CUL3|KRAS|ACAT1|GATA3
GO:0051546,keratinocyte migration,0.038696445705365,19,PTEN|KRT16|KRT2
GO:0070268,cornification,0.000522084811543036,112,KRT17|KRT6A|KRT12|KRT16|KRT2|KRT10
REAC:R-HSA-390522,Striated Muscle Contraction,0.00140854230066463,36,TPM3|TPM1|MYL3|ACTA1|TNNC1
REAC:R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,0.00821018595841424,359,PTEN|PTPN11|CREBBP|VCP|LMNA|SMAD4|ACTB|PPP2R1A|KRAS
REAC:R-HSA-6805567,Keratinization,0.024420400311088,215,KRT17|KRT6A|KRT12|KRT16|KRT2|KRT10
REAC:R-HSA-6809371,Formation of the cornified envelope,0.00115941172018795,128,KRT17|KRT6A|KRT12|KRT16|KRT2|KRT10
REAC:R-HSA-70263,Gluconeogenesis,0.0114319803484796,32,SLC25A1|PGK1|GOT2|MDH1
REAC:R-HSA-70326,Glucose metabolism,0.0325719422848533,85,SLC25A1|PGK1|GOT2|MDH1|PPP2R1A
REAC:R-HSA-9663891,Selective autophagy,0.0323063439924522,80,MFN2|CSNK2A1|TUBA1A|VCP
