term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000075,cell cycle checkpoint,0.0365581113077821,220,BRCA1|PTPN11|ATM|MSH2|TP53|CHEK2
GO:0000077,DNA damage checkpoint,0.00402371655719797,150,BRCA1|PTPN11|ATM|MSH2|TP53|CHEK2
GO:0000086,G2/M transition of mitotic cell cycle,0.010334825313648,260,BRCA1|ATM|CHEK2|DNM2|DYNC1H1|APP|MECP2|PPP1CB|TUBA1A|CALM2|CDK4|RNASEH2B|BLM|DYNC1I2|YWHAG|KIF14|TUBB4A|CSNK1D|CDKN2A|CEP41|ALMS1|TUBB|CALM1|ORC1
GO:0000122,negative regulation of transcription by RNA polymerase II,2.18471864267174e-06,875,FGFR2|CREBBP|STAT3|TP53|STAT1|TRPV4|KCTD1|ZBTB20|WFS1|FOXL2|DNMT1|NSD1|TFAP2A|SOX10|MECP2|ATRX|SMAD4|NR2F1|SMARCA2|GATA1|NIPBL|AR|RB1|RLIM|FOXC2|CHD3|VHL|DNMT3B|CDKN1C|GATA2|SOX11|TWIST1|BAG3|ETV6|TP63|SUZ12|CTNNB1|NKAP|CD36|RBPJ|EZH2|ZFHX3|FOXC1|NOTCH2|EP300|PURA|HIVEP1|CIC|TBL1XR1|SMAD3|BMP4|FLCN|ERF|PER2|HESX1|YY1|EHMT1|SNCA|ZEB2|HNF1A|GATA3|MSX2|HNF1B|CTBP1|NEDD4L|SMAD2|THAP11|VDR|HDAC4|TGIF1|TRPS1|GTF2IRD1|RUNX1|NFKB1|MAD2L2|WWOX|SOX9|KANK2|GFI1B|MITF|DNMT3A|IRF8
GO:0000165,MAPK cascade,7.68535558170522e-06,950,FGFR2|PTPN11|RAF1|PTEN|RET|BRAF|LRRK2|TRPV4|NEFL|NF1|KRAS|APP|INSR|GSTP1|PDGFRB|ACTN2|CASR|TEK|SETX|MET|MAP2K2|SASH1|SMAD4|PSAP|TGFBR1|IL2RG|SPTAN1|AR|FGF23|SOS1|PPP2CA|ABL1|PIK3R2|PAK1|KIT|RIPK1|EGFR|SLC9A3R1|SPTB|CTNNB1|NTRK2|MAPK8IP3|CD36|APOE|EZH2|MAK|NOTCH2|NF2|SHANK3|BMP4|FLCN|MAP2K1|ALK|IRS1|SPTA1|FGFR3|CDC42|ERCC6|CALM1|ZMYND11|ZEB2|NOX1|FAS|SRC|EPHB2|GATA4|SOD1|MAPKAPK3|FLT4|CYLD|EPHA2|HRAS|PRKCD|YWHAZ|MAP4K4|CDH2|NFKB1|GRIN1|MADD|SOX9|NCF1|S1PR2|PINK1|MAPK1|TRAF7|DMD|IKBKB
GO:0000226,microtubule cytoskeleton organization,6.83024024259047e-08,594,BRCA1|MLH1|BRCA2|LMNA|VCP|CHEK2|TRPV4|NEFL|FLNA|DYNC1H1|AAAS|MYH9|MAPT|STAG1|PIBF1|ARMC4|MET|MECP2|ATRX|GJA1|TUBA1A|CALM2|NIN|CHD3|BICD2|APC|ABL1|PAK1|CEP120|SMC1A|DCX|CTNNB1|TUBB4A|CSNK1D|INCENP|FMN2|DNAL1|BBS4|CLTC|CCDC88C|WDR62|ALMS1|SASS6|TUBB|CALM1|SNCA|HTT|DYRK1A|SPATA7|GNAI1|INO80|KIF4A|TUBB2B|STIL|PKD1|CYLD|TUBB4B|TUBA4A|CEP97|SBDS|TTC26|TBCD|EML1|TUBGCP6|TUBB3|TUBA3E|DCTN1
GO:0000280,nuclear division,0.00926565026010586,424,ATM|MLH1|BRCA2|CHEK2|FLNA|AAAS|INSR|PDE3A|BRIP1|PDGFRB|STAG1|PIBF1|LRP5|ATRX|NIPBL|RB1|CDKN1C|APC|PRKAR1A|SMC1A|KIF14|CDT1|FANCA|NCAPD3|INCENP|FMN2
GO:0000302,response to reactive oxygen species,7.55345060012251e-06,238,GNAO1|LRRK2|DNM2|STAT1|MTR|GSTP1|MAPT|PDGFRB|COL1A1|SETX|MET|PSAP|TPM1|ABL1|RIPK1|EGFR|TRPC6|CD36|APOE|ATP7A|EZH2|ERCC6|BTK|EEF2|PYCR1|SRC|SOD1|PRKCD|HBA1|PARK7|NCF1|HBB|PINK1|MAPK1|HSPD1
GO:0000423,mitophagy,0.030242007550662,25,MFN2|TSC2|TP53|HUWE1|VPS13D|VPS13C
GO:0000904,cell morphogenesis involved in differentiation,4.43110452126206e-15,764,FGFR2|PTPN11|PTEN|RET|BRAF|LRRK2|DNM2|NEFL|CDKL5|FLNA|APP|MYH9|MAPT|STXBP1|TEK|MET|ACTB|STK11|DNM1L|SMAD4|GATA1|FAT1|LAMB2|CACNA1A|CAMK2B|SPTAN1|NIN|AR|RB1|SCN1B|SOS1|BCL11B|PLXNA1|LINGO1|ABL1|PIK3R1|PAK1|L1CAM|SLC9A3R1|RAC2|KIF14|DCX|SPTB|CTNNB1|BMPR2|NTRK2|KIF5A|FLNB|RERE|DPYSL2|TRPC6|MAPK8IP3|APOE|KIF5C|NOTCH2|EP300|ALS2|VCL|SHANK3|AFG3L2|CCDC88C|SLITRK5|KIF1A|ACTN1|MAP2K1|ADNP|SPTA1|CDC42|WNT3|ANTXR1|ZEB2|RAC3|MICALL2|SRC|GATA3|EPHB2|TMEM106B|SOD1|NEDD4L|TUBB2B|TTC8|EPHA2|LIMS2|BMPR1B|OPHN1
