term.id,term.name,adjusted.p.val,term.size,overlap
GO:0003013,circulatory system process,0.018141475999735,649,CASR|MYH7|SCN1B|MME|GAA|KCNH2|PER2|INSR
GO:0006820,anion transport,0.00383218446438057,677,CASR|PSAP|FGF23|ABCA4|SNCA|PER2|SLC44A4|PRNP|ENPP1
GO:0007041,lysosomal transport,0.0246587221709826,108,PSAP|NPC1|LAMP2|GNPTAB|TMEM106B
GO:0007610,behavior,0.0121181417331323,615,CASR|PSAP|MME|GAA|SNCA|NPC1|PRNP|INSR
GO:0008015,blood circulation,0.0243296413688945,565,CASR|MYH7|SCN1B|MME|GAA|KCNH2|PER2
GO:0010035,response to inorganic substance,0.00545306756417619,580,CASR|CDH1|PSAP|FGF23|UMOD|SNCA|NPC1|PRNP
GO:0010876,lipid localization,0.0464310565362162,450,BSCL2|CASR|PSAP|ABCA4|NPC1|ENPP1|ANGPTL3
GO:0030002,cellular anion homeostasis,0.0179970118059889,16,FGF23|UMOD|ENPP1
GO:0030320,cellular monovalent inorganic anion homeostasis,0.0179970118059889,16,FGF23|UMOD|ENPP1
GO:0034762,regulation of transmembrane transport,0.0296965194674126,589,SCN1B|SNCA|KCNH2|PER2|PRNP|INSR|ENPP1|NOX1|CD19
GO:0044262,cellular carbohydrate metabolic process,0.000713876530893884,300,GAA|SNCA|PER2|INSR|ENPP1|ANGPTL3|GUSB|GNPTAB
GO:0050801,ion homeostasis,0.00815126792860025,837,CASR|FGF23|SCN1B|UMOD|SNCA|KCNH2|PRNP|ENPP1|ANGPTL3|NOX1|CD19
GO:0055081,anion homeostasis,0.0319556759149203,65,FGF23|UMOD|ENPP1|ANGPTL3
GO:1903522,regulation of blood circulation,0.010724252752474,306,CASR|MYH7|SCN1B|GAA|KCNH2|PER2
REAC:R-HSA-216083,Integrin cell surface interactions,0.00814837762869722,84,COL6A3|CDH1|VWF|AGRN|COL1A1
