term.id,term.name,adjusted.p.val,term.size,overlap
GO:0003012,muscle system process,2.25989897889906e-05,475,LMNA|TPM3|MYH11|PKP2|VIM|YY1|CAMK2G|CAMK2B|ACTA2|EEF2|TPM1|EZH2|PGAM2|G6PD
GO:0009084,glutamine family amino acid biosynthetic process,0.0364513882533585,20,GLUD1|ALDH18A1|ASS1
GO:0019439,aromatic compound catabolic process,0.0255835800121842,626,VCP|HINT1|FUS|RPS19|RPSA|VIM|CDKN2A|RPL13|RPL15|ATM|RPL21
GO:0034655,nucleobase-containing compound catabolic process,0.00864461617289536,560,VCP|HINT1|FUS|RPS19|RPSA|VIM|CDKN2A|RPL13|RPL15|ATM|RPL21
GO:0044270,cellular nitrogen compound catabolic process,0.0196001885955407,609,VCP|HINT1|FUS|RPS19|RPSA|VIM|CDKN2A|RPL13|RPL15|ATM|RPL21
GO:0045103,intermediate filament-based process,0.0298506022106151,52,KRT2|PKP2|VIM|NEFL|KRT6C
GO:0045104,intermediate filament cytoskeleton organization,0.0270723971572942,51,KRT2|PKP2|VIM|NEFL|KRT6C
GO:0045109,intermediate filament organization,0.00939603101478596,25,KRT2|PKP2|VIM|NEFL
GO:0046700,heterocycle catabolic process,0.0192918150415801,608,VCP|HINT1|FUS|RPS19|RPSA|VIM|CDKN2A|RPL13|RPL15|ATM|RPL21
GO:0051146,striated muscle cell differentiation,0.0230745468020957,302,LMNA|MYH11|YY1|FLNC|TPM1|EZH2|KRT8|G6PD|PRKAR1A
GO:0055001,muscle cell development,0.00625542543201497,188,LMNA|MYH11|YY1|FLNC|TPM1|KRT8|G6PD|PRKAR1A
GO:0055002,striated muscle cell development,0.00347025267602115,174,LMNA|MYH11|YY1|FLNC|TPM1|KRT8|G6PD|PRKAR1A
GO:0061061,muscle structure development,0.0439718861853734,691,LMNA|MYH11|ASS1|PKP2|YY1|FLNC|EEF2|TPM1|EZH2|KRT8|G6PD|PRKAR1A|SVIL
GO:1901361,organic cyclic compound catabolic process,0.0419248475447218,659,VCP|HINT1|FUS|RPS19|RPSA|VIM|CDKN2A|RPL13|RPL15|ATM|RPL21
REAC:R-HSA-156842,Eukaryotic Translation Elongation,0.00133204556649075,94,RPS19|RPSA|RPL13|EEF2|RPL15|RPL21|EEF1A2
REAC:R-HSA-156902,Peptide chain elongation,0.00335028896319433,90,RPS19|RPSA|RPL13|EEF2|RPL15|RPL21
REAC:R-HSA-2262752,Cellular responses to stress,1.51464288613365e-08,581,VCP|TINF2|BAG3|VHL|RPS19|RPSA|CAMK2G|RPS6KA3|CAMK2B|CAPZA2|CDKN2A|RPL13|RPL15|ATM|EZH2|RPL21|LMNB1
REAC:R-HSA-2408522,Selenoamino acid metabolism,0.0157958608966461,117,RPS19|RPSA|MAT1A|RPL13|RPL15|RPL21
REAC:R-HSA-397014,Muscle contraction,0.0174437434355347,204,TPM3|MYH11|VIM|CAMK2G|CAMK2B|ACTA2|TPM1
REAC:R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,0.0110788637026035,26,CAMK2G|RPS6KA3|CAMK2B|NEFL
REAC:R-HSA-445355,Smooth Muscle Contraction,0.00828492148475901,38,TPM3|MYH11|ACTA2|TPM1|VCL
REAC:R-HSA-71291,Metabolism of amino acids and derivatives,0.0485256853392645,370,GLUD1|ASS1|RPS19|RPSA|MAT1A|RPL13|RPL15|RPL21|PSAT1
REAC:R-HSA-8953897,Cellular responses to external stimuli,2.2153670852696e-08,595,VCP|TINF2|BAG3|VHL|RPS19|RPSA|CAMK2G|RPS6KA3|CAMK2B|CAPZA2|CDKN2A|RPL13|RPL15|ATM|EZH2|RPL21|LMNB1
