term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000086,G2/M transition of mitotic cell cycle,0.0026738016365951,260,BRCA1|ATM|DNM2|MECP2|CDK4|DYNC1H1|TUBA1A|RNASEH2B|BLM|CSNK1D|CALM3|ALMS1|ORC1|YWHAG|CALM1|PSMB8|TAF2|TUBB|KIF14|CALM2|CEP78
GO:0000226,microtubule cytoskeleton organization,1.00156303091042e-05,594,BRCA1|MLH1|VCP|BRCA2|LMNA|NEFL|MECP2|ARMC4|DYNC1H1|TUBA1A|STAG1|GJA1|MYH9|CEP120|SMC1A|CSNK1D|DNAL1|BBS4|CCDC88C|CALM3|PIBF1|ALMS1|CHD3|MET|WDR62|HTT|DYRK1A|CALM1|KIF4A|CLTC|CYLD|TUBB|GNAI1|SBDS|CALM2|TTC26|TBCD|BICD2|EML1
GO:0000723,telomere maintenance,0.0407122986263998,163,ATM|BRCA2|POLA1|DKC1|BLM|ATR|PARN|XRCC1|RAD50|DNA2|UPF1|POLE
GO:0000726,non-recombinational repair,0.0079552354539731,104,BRCA1|ATM|MLH1
GO:0000729,DNA double-strand break processing,0.00197334105100857,25,BRCA1|ATM|BRIP1|BLM|RAD50|DNA2|SMARCAD1
GO:0001101,response to acid chemical,0.00383905040422803,139,GSTP1|DNMT1|COL6A1|DMD|ATP7A|PCK1|AIFM1|EGFR|GLRB|GSS|ASNS|ASS1|COL1A1|MTHFR|MTOR
GO:0001501,skeletal system development,0.00461407282123318,523,FLI1|TGFBR1|SGPL1|EPHA2|MKKS|SOX11|GJA1|FBN1|FOXP1|SOX9|RUNX1|ATP7A|WWOX|ANKRD11|RPL13|EIF2AK3|HEXB|LRP5|HDAC4|NOTCH2|MED12|RPS6KA3|MKS1|IFT140|ZMPSTE24|COL1A1|BMPR1B|RAB23|SBDS|KIT
GO:0001654,eye development,0.000973777812696992,391,MFN2|STAT3|JAG1|KRT12|CDK4|TGFBR1|LAMB2|NF1|EPHA2|FAT1|BCL11B|SOX11|FBN1|SOX9|BBS4|GPD2|TDRD7|EGFR|LRP5|NF2|NOTCH2|ACTL6A
GO:0001655,urogenital system development,0.0204515315758776,353,STAT1|WFS1|JAG1|TGFBR1|LAMB2|NF1|SGPL1|SMAD4|SOX11|FBN1|MYO1E|SOX9|CA2
GO:0001701,in utero embryonic development,0.000220152017122647,369,MFN2|MSH2|BRCA2|SOX10|TGFBR1|LIG4|MAP2K1|RNASEH2B|ERCC2|SMAD4|MYH9|MYO1E|RBPJ|ATP7A|ANKRD11|FLCN|THOC2|EGFR|AR|MIB1|NOTCH2|ACTL6A|CASP8
GO:0001822,kidney development,0.00414462291655609,306,STAT1|WFS1|JAG1|TGFBR1|LAMB2|NF1|SGPL1|SMAD4|SOX11|FBN1|MYO1E|SOX9|CA2
GO:0001889,liver development,0.0336393749532985,145,NF1|WDR35|SOX9|ATP7A|GFER|EZH2|PCK1|EGFR|MET|NOTCH2|ASNS|ASS1
GO:0001894,tissue homeostasis,0.0279191803098895,268,FH|NF1|MKKS|HSPB1|GJA1|SOX9|BBS1|CA2|DMD|BBS4|ACTB|ANKRD11|EGFR|ERCC6|PLEKHM1|SLC12A2|MKS1
GO:0002009,morphogenesis of an epithelium,5.34955360137148e-06,566,KRT17|STAT1|JAG1|KRT6A|KRT12|KRT16|SOX10|EPHA2|MKKS|SLC9A3R1|FAT1|SMAD4|SOX11|GJA1|FOXP1|SOX9|TSC2|CA2|RBPJ|ATP7A|BBS4|ACTB|MYO9A|EGFR|LRP5|MET|AR|MIB1|NOTCH2|MED12|KRT71|MKS1|CLTC|TTC8|PSMB8|AP2S1|MTHFR
GO:0002064,epithelial cell development,0.0074543585065457,221,JAG1|LAMB2|TNFRSF1A|EPHA2|KRT2|SLC9A3R1|FAT1|BCL11B|MYO1E|SOX9|DMD|CCDC88C|MET|AR|NOTCH2
GO:0002200,somatic diversification of immune receptors,1.08653889125198e-06,74,ATM|MLH1|MSH6|MSH2|ADAR|PMS2
GO:0002204,somatic recombination of immunoglobulin genes involved in immune response,0.0074678007638925,50,MLH1|MSH6|MSH2
GO:0002208,somatic diversification of immunoglobulins involved in immune response,0.0074678007638925,50,MLH1|MSH6|MSH2
GO:0002312,B cell activation involved in immune response,0.0297608418192814,79,MLH1|MSH6|MSH2
GO:0002377,immunoglobulin production,0.00626294862118195,208,ATM|MLH1|MSH6|MSH2
GO:0002381,immunoglobulin production involved in immunoglobulin mediated immune response,0.0123449224880321,59,MLH1|MSH6|MSH2
GO:0002440,production of molecular mediator of immune response,0.0309040940975842,311,ATM|MLH1|MSH6|MSH2
GO:0002521,leukocyte differentiation,0.00242075253800278,549,ATM|MSH2|BRAF|STAT3|NF1|MALT1|EPHA2|LIG4|BCL11B|FBN1|MYH9|ZAP70|FOXP1|CA2|RUNX1|FANCA|IKZF1|RBPJ|ATP7A
GO:0002562,somatic diversification of immune receptors via germline recombination within a single locus,6.13301283249542e-05,66,ATM|MLH1|MSH6|MSH2
GO:0002566,somatic diversification of immune receptors via somatic mutation,1.57482129904937e-08,14,MLH1|MSH6|MSH2|ADAR|PMS2
GO:0003007,heart morphogenesis,0.0129696532378316,258,MYH7|JAG1|TGFBR1|MKKS|DSP|SMAD4|SOX11|SOX9|MYL3|RBPJ|INSR|BBS4|MIB1|NOTCH2|MKS1|EPHB4|ZMPSTE24|MYH6|MTOR|TPM1
GO:0003208,cardiac ventricle morphogenesis,0.00153846012196037,72,MYH7|JAG1|TGFBR1|DSP|SMAD4|SOX11|MYL3|RBPJ
