BLCA	Bladder Urothelial Carcinoma	yellow
BRCA	Breast invasive carcinoma	darkolivegreen2
COAD	Colon adenocarcinoma	cornflowerblue
READ	Rectum adenocarcinoma	cornflowerblue
GBM	Glioblastoma multiforme	darkorchid1
HNSC	Head and Neck squamous cell carcinoma	chartreuse
KIRC	Kidney renal clear cell carcinoma	burlywood1
LAML	Acute Myeloid Leukemia	orange
LUAD	Lung adenocarcinoma	cyan3
LUSC	Lung squamous cell carcinoma	aquamarine
OV	Ovarian serous cystadenocarcinoma	pink
UCEC	Uterine Corpus Endometrial Carcinoma	brown1
