GENE_symbol	DRUG_name	DRUG_type
F2	Lepirudin	approved
EGFR	Cetuximab	approved
IL2RA	Denileukin diftitox	approvedinvestigational
IL2RB	Denileukin diftitox	approvedinvestigational
TNF	Etanercept	approvedinvestigational
F2	Bivalirudin	approvedinvestigational
GNRHR	Leuprolide	approvedinvestigational
IFNAR1	Peginterferon alfa-2a	approvedinvestigational
IFNAR2	Peginterferon alfa-2a	approvedinvestigational
PLG	Alteplase	approved
FGA	Alteplase	approved
GHRHR	Sermorelin	approvedwithdrawn
IFNAR2	Interferon alfa-n1	approved
IFNAR1	Interferon alfa-n1	approved
EPOR	Darbepoetin alfa	approvedinvestigational
PLAT	Urokinase	approvedinvestigationalwithdrawn
SERPINE1	Urokinase	approvedinvestigationalwithdrawn
PLAUR	Urokinase	approvedinvestigationalwithdrawn
PLAU	Urokinase	approvedinvestigationalwithdrawn
SERPINB2	Urokinase	approvedinvestigationalwithdrawn
PLG	Urokinase	approvedinvestigationalwithdrawn
GNRHR	Goserelin	approved
LHCGR	Goserelin	approved
PLG	Reteplase	approved
FGA	Reteplase	approved
EPOR	Erythropoietin	approved
IFNAR1	Interferon alfa-n3	approvedinvestigational
IFNAR2	Interferon alfa-n3	approvedinvestigational
CSF3R	Pegfilgrastim	approved
CSF2RA	Sargramostim	approvedinvestigational
CSF2RB	Sargramostim	approvedinvestigational
IL3RA	Sargramostim	approvedinvestigational
SCTR	Secretin	approvedinvestigational
IFNAR1	Peginterferon alfa-2b	approved
IFNAR2	Peginterferon alfa-2b	approved
TSHR	Thyrotropin Alfa	approvedvet_approved
F10	Antihemophilic Factor (Recombinant)	approvedinvestigational
VWF	Antihemophilic Factor (Recombinant)	approvedinvestigational
F9	Antihemophilic Factor (Recombinant)	approvedinvestigational
IL1R1	Anakinra	approved
FCGR3B	Immune Globulin Human	approvedinvestigational
FCGR2B	Immune Globulin Human	approvedinvestigational
FCGR1B	Immune Globulin Human	approvedinvestigational
C4A	Immune Globulin Human	approvedinvestigational
FCGR2C	Immune Globulin Human	approvedinvestigational
C4B	Immune Globulin Human	approvedinvestigational
C3	Immune Globulin Human	approvedinvestigational
FCGR3A	Immune Globulin Human	approvedinvestigational
FCGR1A	Immune Globulin Human	approvedinvestigational
FCGR2A	Immune Globulin Human	approvedinvestigational
C5	Immune Globulin Human	approvedinvestigational
PLG	Anistreplase	approved
FGA	Anistreplase	approved
INSR	Insulin Human	approvedinvestigational
PLG	Tenecteplase	approved
FGA	Tenecteplase	approved
LHCGR	Menotropins	approved
FSHR	Menotropins	approved
IFNGR1	Interferon gamma-1b	approvedinvestigational
IFNGR2	Interferon gamma-1b	approvedinvestigational
IFNAR2	Interferon Alfa-2a, Recombinant	approved
IFNAR1	Interferon Alfa-2a, Recombinant	approved
AVPR1B	Desmopressin	approved
AVPR1A	Desmopressin	approved
AVPR2	Desmopressin	approved
IL11RA	Oprelvekin	approvedinvestigational
FGFR2	Palifermin	approved
GCGR	Glucagon recombinant	approved
IL2RA	Aldesleukin	approved
IL2RG	Aldesleukin	approved
IL2RB	Aldesleukin	approved
SYT2	Botulinum Toxin Type B	approved
VAMP1	Botulinum Toxin Type B	approved
VAMP2	Botulinum Toxin Type B	approved
FCER1A	Omalizumab	approvedinvestigational
MS4A2	Omalizumab	approvedinvestigational
LHCGR	Lutropin alfa	approved
TLR2	OspA lipoprotein	approvedwithdrawn
INSR	Insulin Lispro	approved
INSR	Insulin Glargine	approved
GNRHR	Cetrorelix	approvedinvestigational
TNF	Adalimumab	approved
PRLR	Somatropin recombinant	approvedinvestigational
GHR	Somatropin recombinant	approvedinvestigational
ITGA2B	Abciximab	approved
ITGB3	Abciximab	approved
F8	Drotrecogin alfa	approvedinvestigationalwithdrawn
F5	Drotrecogin alfa	approvedinvestigationalwithdrawn
CD33	Gemtuzumab ozogamicin	approvedinvestigationalwithdrawn
ELANE	Alpha-1-proteinase inhibitor	approved
IFNAR1	Interferon beta-1a	approvedinvestigational
IFNAR2	Interferon beta-1a	approvedinvestigational
ITGB3	Eptifibatide	approvedinvestigational
TNF	Infliximab	approved
FSHR	Follitropin beta	approved
AVPR1B	Vasopressin	approved
AVPR2	Vasopressin	approved
AVPR1A	Vasopressin	approved
IFNAR2	Interferon beta-1b	approved
IFNAR1	Interferon beta-1b	approved
IFNAR1	Interferon alfacon-1	approved
IFNAR2	Interferon alfacon-1	approved
INSR	Insulin Pork	approved
ERBB2	Trastuzumab	approvedinvestigational
MS4A1	Rituximab	approved
IL2RA	Basiliximab	approvedinvestigational
CD3D	Muromonab	approvedinvestigational
CD247	Muromonab	approvedinvestigational
CD3E	Muromonab	approvedinvestigational
CD3G	Muromonab	approvedinvestigational
MS4A1	Ibritumomab tiuxetan	approved
MS4A1	Tositumomab	approved
GHR	Pegvisomant	approved
SNAP25	Botulinum Toxin Type A	approvedinvestigational
PLG	Streptokinase	approved
CD52	Alemtuzumab	approvedinvestigational
FOLH1	Capromab	approved
PPP3R2	Cyclosporine	approvedinvestigationalvet_approved
CAMLG	Cyclosporine	approvedinvestigationalvet_approved
CD2	Alefacept	approvedwithdrawn
AVPR1A	Felypressin	approved
FSHR	Urofollitropin	approvedvet_approved
ITGAL	Efalizumab	approvedinvestigational
FSHR	Chorionic Gonadotropin (Recombinant)	approved
LHCGR	Chorionic Gonadotropin (Recombinant)	approved
ITGAV	Anti-thymocyte Globulin (Rabbit)	approved
CD4	Anti-thymocyte Globulin (Rabbit)	approved
ITGAL	Anti-thymocyte Globulin (Rabbit)	approved
ITGB1	Anti-thymocyte Globulin (Rabbit)	approved
ITGB3	Anti-thymocyte Globulin (Rabbit)	approved
FCGR2B	Anti-thymocyte Globulin (Rabbit)	approved
MR1	Anti-thymocyte Globulin (Rabbit)	approved
CD86	Anti-thymocyte Globulin (Rabbit)	approved
CSF3R	Filgrastim	approved
F11	Coagulation Factor IX (Recombinant)	approved
F7	Coagulation Factor IX (Recombinant)	approved
F10	Coagulation Factor IX (Recombinant)	approved
F8	Coagulation Factor IX (Recombinant)	approved
PDGFRB	Becaplermin	approvedinvestigational
SSTR1	Octreotide	approvedinvestigational
SSTR5	Octreotide	approvedinvestigational
SSTR2	Octreotide	approvedinvestigational
IFNAR2	Interferon Alfa-2b, Recombinant	approved
IFNAR1	Interferon Alfa-2b, Recombinant	approved
GNRHR	Abarelix	approvedinvestigationalwithdrawn
OXTR	Oxytocin	approvedvet_approved
ITGA4	Natalizumab	approvedinvestigational
IL2RB	Daclizumab	approvedinvestigational
IL2RA	Daclizumab	approvedinvestigational
VEGFA	Bevacizumab	approvedinvestigational
MUT	Cyanocobalamin	approvednutraceutical
MTR	Cyanocobalamin	approvednutraceutical
SMOX	Spermine	approvednutraceutical
SMS	Spermine	approvednutraceutical
FADS2	Alpha-Linolenic Acid	approvednutraceutical
FADS1	Alpha-Linolenic Acid	approvednutraceutical
VDR	Calcitriol	approvednutraceutical
BLVRB	Riboflavin	approvednutraceuticalvet_approved
RFK	Riboflavin	approvednutraceuticalvet_approved
VDR	Calcidiol	approvednutraceutical
PDXK	Pyridoxal	approvednutraceutical
CKMT2	Creatine	approvednutraceutical
GAMT	Creatine	approvednutraceutical
CKM	Creatine	approvednutraceutical
CKMT1A	Creatine	approvednutraceutical
CKB	Creatine	approvednutraceutical
SLC6A8	Creatine	approvednutraceutical
TPK1	Thiamine	approvednutraceuticalvet_approved
VDR	Ergocalciferol	approvednutraceutical
PTGS1	Dihomo-gamma-linolenic acid	approvednutraceutical
PTGS2	Dihomo-gamma-linolenic acid	approvednutraceutical
FFAR1	Icosapent	approvednutraceutical
PTGS2	Icosapent	approvednutraceutical
PTGS1	Icosapent	approvednutraceutical
SLC8A1	Icosapent	approvednutraceutical
PPARD	Icosapent	approvednutraceutical
PPARG	Icosapent	approvednutraceutical
PDXK	Pyridoxine	approvednutraceuticalvet_approved
VDR	Cholecalciferol	approvednutraceutical
VKORC1L1	Menadione	approvednutraceutical
GGCX	Menadione	approvednutraceutical
VKORC1	Menadione	approvednutraceutical
HMGCR	Pravastatin	approved
SLC6A4	Fluvoxamine	approvedinvestigational
AGTR1	Valsartan	approvedinvestigational
ACE	Ramipril	approved
ALOX5	Masoprocol	approved
NR3C1	Flunisolide	approvedinvestigational
GABBR1	Baclofen	approved
GABBR2	Baclofen	approved
SLC18A2	Amphetamine	approvedillicit
MAOA	Amphetamine	approvedillicit
TAAR1	Amphetamine	approvedillicit
	Amphetamine	approvedillicit
SLC6A3	Amphetamine	approvedillicit
CARTPT	Amphetamine	approvedillicit
MAOB	Amphetamine	approvedillicit
CCKBR	Pentagastrin	approved
CHRNA7	Nicotine	approved
CHRNB2	Nicotine	approved
CHRNA4	Nicotine	approved
CHRM1	Cevimeline	approved
CHRM3	Cevimeline	approved
GABRA5	Lorazepam	approved
GABRE	Lorazepam	approved
GABRQ	Lorazepam	approved
GABRA3	Lorazepam	approved
GABRB1	Lorazepam	approved
GABRA4	Lorazepam	approved
GABRA2	Lorazepam	approved
GABRG2	Lorazepam	approved
GABRD	Lorazepam	approved
GABRA6	Lorazepam	approved
GABRB3	Lorazepam	approved
GABRA1	Lorazepam	approved
GABRG1	Lorazepam	approved
GABRB2	Lorazepam	approved
GABRG3	Lorazepam	approved
GABRP	Lorazepam	approved
ADRB1	Esmolol	approved
PSMB5	Bortezomib	approvedinvestigational
PSMB1	Bortezomib	approvedinvestigational
GABRB1	Ethchlorvynol	approvedillicitwithdrawn
GABRD	Ethchlorvynol	approvedillicitwithdrawn
GABRG1	Ethchlorvynol	approvedillicitwithdrawn
GABRA3	Ethchlorvynol	approvedillicitwithdrawn
GABRA6	Ethchlorvynol	approvedillicitwithdrawn
GABRE	Ethchlorvynol	approvedillicitwithdrawn
GABRA5	Ethchlorvynol	approvedillicitwithdrawn
GABRQ	Ethchlorvynol	approvedillicitwithdrawn
GABRP	Ethchlorvynol	approvedillicitwithdrawn
GABRA1	Ethchlorvynol	approvedillicitwithdrawn
GABRA2	Ethchlorvynol	approvedillicitwithdrawn
GABRB2	Ethchlorvynol	approvedillicitwithdrawn
GABRB3	Ethchlorvynol	approvedillicitwithdrawn
GABRG2	Ethchlorvynol	approvedillicitwithdrawn
GABRA4	Ethchlorvynol	approvedillicitwithdrawn
GABRG3	Ethchlorvynol	approvedillicitwithdrawn
DDC	Carbidopa	approved
SLC6A4	Phentermine	approvedillicit
SLC6A3	Phentermine	approvedillicit
SLC6A2	Phentermine	approvedillicit
MAOB	Phentermine	approvedillicit
MAOA	Phentermine	approvedillicit
SCN5A	Indecainide	approved
SLC6A4	Tramadol	approvedinvestigational
SLC6A2	Tramadol	approvedinvestigational
OPRM1	Tramadol	approvedinvestigational
ADRB1	Betaxolol	approved
PPARG	Troglitazone	withdrawn
CES1	Oseltamivir	approved
MTR	Hydroxocobalamin	approved
MUT	Hydroxocobalamin	approved
ADORA2A	Caffeine	approved
ADORA1	Caffeine	approved
CHRNA10	Succinylcholine	approved
CHRM1	Succinylcholine	approved
CHRNA7	Succinylcholine	approved
PDE5A	Sildenafil	approvedinvestigational
KCNH2	Dofetilide	approved
KCNK2	Dofetilide	approved
KCNJ12	Dofetilide	approved
DHFR	Pyrimethamine	approvedvet_approved
SLC18A2	Reserpine	approved
P2RY12	Ticlopidine	approved
RXRB	Adapalene	approved
RARB	Adapalene	approved
RARG	Adapalene	approved
RXRG	Adapalene	approved
ADRA1B	Midodrine	approved
ADRA1A	Midodrine	approved
REN	Remikiren	approved
ATP4A	Pantoprazole	approved
SLC12A1	Torasemide	approved
SLC6A4	Citalopram	approved
HTR1D	Eletriptan	approvedinvestigational
HTR1F	Eletriptan	approvedinvestigational
HTR1B	Eletriptan	approvedinvestigational
ADRA2B	Bethanidine	approved
ADRA2A	Bethanidine	approved
KCNJ1	Bethanidine	approved
