gene	p	fdr
GDF2	1	1
UNC80	1	1
KIF13B	1	1
EPHB3	1	1
RGS9	1	1
SF3B1	6.14902790649046e-24	6.68115532147521e-21
MYO7A	1	1
MARCH8	1	1
ADAMTS2	1	1
DLX6	0.0198747017434085	0.0962063612493644
TANC1	0.00731556974109221	0.050381483468029
FAM71B	1	1
CENPE	0.0125804447117804	0.074041158980791
SYNE2	0.000709961453687405	0.00856379635639162
HMMR	1	1
PKN3	5.05179738789e-05	0.00122395605667146
NCOR1	3.5995702101605e-10	7.50242821083971e-08
KCNK9	0.0227288712937167	0.103697943758076
MCCC1	1	1
STAG1	0.0182447076693261	0.0916047782315955
ARFIP1	1	1
ZNF471	1	1
PTBP1	1	1
IRGQ	1	1
TFEC	0.00706299736836407	0.0491694617191437
TNR	1	1
FAT1	7.98242773400576e-07	5.05613415887136e-05
WDR35	1	1
TTC7A	0.0363345134327341	0.130150810350575
FYB	0.0459943262783557	0.14462819650084
EPHA6	0.0308042504063504	0.120362389208769
POMK	1	1
VDR	1	1
CDH10	0.00525325293777432	0.0393645611384946
ESRRG	1	1
HOXA2	1	1
TF	1	1
KMT2C	1.26352006672886e-07	1.11766102636589e-05
ZNF318	0.000122223294406325	0.00241793282001307
ANKRD30B	1	1
TRPM3	1	1
RYR2	1	1
CROCC	1	1
ZNF99	1	1
HEBP2	1	1
ELMO2	0.0170177408207796	0.0881142188759206
HN1	1	1
ADGRG5	1	1
TTC14	1	1
CHSY3	1	1
GLTSCR1	0.0324156821521996	0.123183080548781
MTMR12	1	1
MYCN	0.000341137776601637	0.00501412184651209
NRXN3	0.000192644254214904	0.00331959402288361
KNTC1	1	1
ATP6V1C2	1	1
RTP3	1	1
BPHL	1	1
RANBP2	6.60443011081638e-12	2.22113274560194e-09
CLK2	0.0223361273415287	0.102600910146047
WNT8A	1	1
CAPG	0.000792094703527588	0.00930036382986465
MAGEA3	0.00140819920829862	0.014037271571784
TRPM6	1	1
OR5K2	1	1
ATP5C1	1	1
TFG	0.022141095727782	0.102023704814124
ZNF681	1	1
PAK7	1	1
POLQ	0.00162563258882379	0.0155992257589239
DOCK8	1	1
CPS1	3.00266345221734e-06	0.000139975647731254
STAT5B	0.00161167077867243	0.0155391465861762
CANX	0.00499864220729712	0.0378786594302961
DPH1	1	1
LRFN2	0.009803944686495	0.0624068132928084
NCKAP5	1	1
ASTN1	1	1
AKAP17A	0.0125973541504979	0.0740789456185608
ME1	0.0162797845351614	0.0862859124049362
ADAM15	0.000632136201609448	0.00788636512536195
ITFG2	1	1
ASUN	1.83223721662879e-05	0.000561395893381381
CDX2	1	1
PXDNL	1	1
DMD	0.0348322939012998	0.127561874865403
PPP2R4	0.0249146860414329	0.10829912510154
EMSY	1	1
ZNF699	1	1
FMN1	1	1
FADS2	1	1
PALM	1	1
ROBO2	1	1
CTSA	1	1
TNS4	1	1
DND1	1	1
CILP	1	1
ZNF473	0.0288907061411607	0.116694659492106
SYTL4	0.00120750352004703	0.0126340646078995
ZNF689	0.0190502810374574	0.094301138245815
ARHGEF19	0.000156827123075589	0.00290357394633457
PTPRD	1	1
EGFR	3.45309083602589e-50	6.96784400840938e-47
DUOX1	0.0193160677428288	0.0948676831945258
TRIO	0.000690729278867634	0.00838912387274748
FBXW2	0.00487336015377266	0.0371485224889578
HTATSF1	8.61471544431258e-05	0.00182433066942901
KMT2D	6.46659391091887e-05	0.00147800386718008
LSR	1	1
ADH1A	1	1
CNTN1	0.00167264904658852	0.0159098772949918
OR4A15	1	1
ATP7B	1	1
NLN	1	1
SPATA31A3	1	1
SPTAN1	4.46181936543688e-13	2.03300640441277e-10
NXF3	0.0174834257404886	0.0893129105356918
BRCA2	1.55791492177438e-09	2.75069353375789e-07
SPHKAP	2.56792564831566e-06	0.000125944270077982
TBC1D1	0.0270836479002481	0.113055553752205
MAP1A	9.62117809835353e-12	2.95432914433138e-09
NEBL	0.0385216479590096	0.133953293308964
CP	0.0380700541038914	0.13333640666089
EIF5B	1	1
GIMAP7	0.0246737148340236	0.107807937347172
ASB15	1	1
ADCY8	1	1
SSFA2	0.0205398039084868	0.0981477436425496
DDX11	0.0461934502368177	0.144980386859585
EFCAB6	1	1
ANO5	1	1
OSGIN1	1	1
ZNF570	1	1
ZNF142	1	1
FMN2	5.52053962066353e-07	3.74892414143617e-05
RENBP	1	1
PCDH15	1	1
MORC4	1	1
ZFHX4	0.0205875469178498	0.0982097602886284
ABCC12	1	1
CACNB4	1	1
ZNF234	0.00112922242653473	0.0120781180777964
TAAR2	1	1
SPTBN5	1	1
ATP2B2	8.36818610869292e-06	0.000311054286277072
ATG9A	1	1
E2F8	1	1
DSCAM	0.0409018732020862	0.138114363246663
LEF1	0.00138808746644919	0.013925238255394
SPTA1	4.47597985994033e-06	0.000189291064436099
SMC2	1.54291619793341e-06	8.35007329341357e-05
PCNXL2	0.00116912982875616	0.0123629811300169
CPT1B	1	1
ST18	1	1
KDM6B	1	1
MANBA	1	1
ALG8	1	1
RB1	1.64012331138336e-05	0.000511782362033375
IGF2R	1	1
PAN2	0.0046195510202847	0.0356564916852569
SPTBN4	0.0410680846376961	0.138377373271563
OBSL1	1	1
PPRC1	6.34975451356214e-08	6.42924869086214e-06
CDS2	0.0265125505535089	0.112122687595303
CDH19	0.0417836003198648	0.139327987374431
FZD8	1	1
NXPH2	1	1
GLI3	0.0353455011741759	0.128508418039957
IRF5	1	1
ZC3H4	0.00114551231791398	0.0121944149666717
ZNF804A	0.035836814203832	0.129296296456993
GNMT	1	1
VANGL1	1	1
MYO9B	0.0474641780362028	0.146939498613728
PPFIA1	0.00169316297402735	0.0160145200106181
ERBB2IP	0.0252092863295797	0.108826763265683
MAST4	5.59575640668244e-06	0.000226475814453838
NEFM	1	1
CHMP6	0.0376342627684533	0.132399492304957
NSDHL	1	1
VWA8	1	1
SPATA9	0.0115047343386908	0.0697157556904303
TNN	0.0128383488802412	0.0748726993944705
KALRN	1	1
GRM5	1	1
LPAR1	0.0301835714503324	0.11902371488999
KDM4B	1	1
LRRC4C	1	1
ERLIN1	1	1
EIF4ENIF1	3.25297975102632e-06	0.000149788324812909
