gene	p	fdr
IDH1	0	0
BRAF	0	0
CTNNB1	1.35981120845283e-221	6.39020613892265e-218
NRAS	7.9807189016475e-202	2.81280437688566e-198
PTEN	1.31501237331595e-110	3.70780888780164e-107
TP53	2.6785392994788e-100	6.29367450734201e-97
EGFR	3.49586470853128e-53	7.04067152298201e-50
AKT1	2.1708178483134e-52	3.82552375319029e-49
BCOR	4.04895676142241e-44	6.3424658247259e-41
ERBB2	8.10769931107755e-34	1.14302344887571e-30
HRAS	6.29121635602942e-32	8.06305165339116e-29
CIC	3.39265495990113e-30	3.98580413539051e-27
SF3B1	4.48649878211343e-26	4.86543537155655e-23
CCND1	2.23735543842707e-24	2.25301692649606e-21
U2AF1	3.59209983293394e-24	3.37609489631351e-21
DSP	6.78672056909207e-24	5.97994916144125e-21
AHNAK2	1.42673251218524e-21	1.11744860871042e-18
POTEF	1.3907078221414e-21	1.11744860871042e-18
AHNAK	6.12111898114583e-21	4.54187028401021e-18
PLEC	1.07239797953462e-20	7.5593333577395e-18
RGPD1	5.4704695798397e-20	3.67250857793238e-17
MKI67	5.84669894982348e-20	3.74667099066415e-17
PPP2R1A	1.17129649975176e-19	7.17953828413058e-17
CHD4	3.94729139936081e-19	2.31870475617453e-16
RGPD5	4.88133116950857e-19	2.75268027310927e-16
MDN1	6.03655416015236e-19	3.27320540576261e-16
FLNC	1.76667474704365e-18	9.22465947548939e-16
MB21D2	4.65271936041404e-18	2.34264419796847e-15
RGPD2	5.2288688511291e-18	2.54195148493856e-15
NFE2L2	9.89575405025144e-18	4.65034468668149e-15
KIT	1.32392820116644e-17	6.02088380001436e-15
HUWE1	1.9030010384158e-17	8.38390894987063e-15
FLNA	1.99576105704291e-17	8.52613314611849e-15
DOCK2	2.73184301592194e-17	1.13275067171963e-14
AHCTF1	2.98829573487253e-17	1.20368552200665e-14
PTPN22	3.34499546332829e-17	1.30993739005562e-14
CTCF	7.63613441585133e-17	2.9095735944506e-14
RIF1	9.64047112334751e-17	3.57661478676192e-14
HCFC1	1.02433992811878e-16	3.70285751451759e-14
IDH2	1.30691354198833e-16	4.60621677873789e-14
DLG5	1.52770850915102e-16	5.25308160049052e-14
PRRC2C	3.49453038511752e-16	1.17299736593778e-13
MTOR	4.51280244995802e-16	1.47956951022112e-13
POTEE	4.82627250645111e-16	1.54638158627154e-13
RGPD3	6.14820387923976e-16	1.92616396198938e-13
KIF14	7.3496329283856e-16	2.25250271792131e-13
KMT2A	1.70136242276143e-15	5.09593336468804e-13
HRNR	1.73503193009665e-15	5.09593336468804e-13
CTAGE6	2.01969224720792e-15	5.81094312268108e-13
TRPC5	2.27727518724463e-15	6.42100511795495e-13
PPP6C	2.43746088160299e-15	6.73790657036058e-13
PCBP1	2.84834884352138e-15	7.72231192230085e-13
RGPD8	1.53070876889243e-14	4.07168532525386e-12
