No.	Kinase	Group	Family	Subfamily	Gene.Symbol	gene.clean	Description	group.clean
1	AKT1	AGC	Akt		AKT1	AKT1	v-akt murine thymoma viral oncogene homolog 1	Akt
2	AKT2	AGC	Akt		AKT2	AKT2	v-akt murine thymoma viral oncogene homolog 2	Akt
3	AKT3	AGC	Akt		AKT3	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	Akt
4	CRIK	AGC	DMPK	CRIK	CIT	CIT	citron (rho-interacting, serine/threonine kinase 21)	DMPK_CRIK
5	DMPK1	AGC	DMPK	GEK	DMPK	DMPK	dystrophia myotonica-protein kinase	DMPK_GEK
6	MRCKa	AGC	DMPK	GEK	CDC42BPA	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	DMPK_GEK
7	MRCKb	AGC	DMPK	GEK	CDC42BPB	CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)	DMPK_GEK
8	DMPK2	AGC	DMPK	GEK	CDC42BPG	CDC42BPG	CDC42 binding protein kinase gamma (DMPK-like)	DMPK_GEK
9	ROCK1	AGC	DMPK	ROCK	ROCK1	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	DMPK_ROCK
10	ROCK2	AGC	DMPK	ROCK	ROCK2	ROCK2	Rho-associated, coiled-coil containing protein kinase 2	DMPK_ROCK
11	BARK1	AGC	GRK	BARK	ADRBK1	ADRBK1	adrenergic, beta, receptor kinase 1	GRK_BARK
12	BARK2	AGC	GRK	BARK	ADRBK2	ADRBK2	adrenergic, beta, receptor kinase 2	GRK_BARK
13	GPRK4	AGC	GRK	GRK	GRK4	GRK4	G protein-coupled receptor kinase 4	GRK_GRK
14	GPRK5	AGC	GRK	GRK	GRK5	GRK5	G protein-coupled receptor kinase 5	GRK_GRK
15	GPRK6	AGC	GRK	GRK	GRK6	GRK6	G protein-coupled receptor kinase 6	GRK_GRK
16	RHOK	AGC	GRK	GRK	GRK1	GRK1	G protein-coupled receptor kinase 1	GRK_GRK
17	GPRK7	AGC	GRK	GRK	GRK7	GRK7	G protein-coupled receptor kinase 7	GRK_GRK
18	MAST1	AGC	MAST	MAST	MAST1	MAST1	microtubule associated serine/threonine kinase 1	MAST_MAST
19	MAST3	AGC	MAST	MAST	MAST3	MAST3	microtubule associated serine/threonine kinase 3	MAST_MAST
20	MAST2	AGC	MAST	MAST	MAST2	MAST2	microtubule associated serine/threonine kinase 2	MAST_MAST
21	MAST4	AGC	MAST	MAST	LOC375449	MAST4	similar to microtubule associated testis specific serine/threonine protein kinase	MAST_MAST
22	MASTL	AGC	MAST	MASTL	MASTL	MASTL	microtubule associated serine/threonine kinase-like	MAST_MASTL
23	LATS1	AGC	NDR		LATS1	LATS1	LATS, large tumor suppressor, homolog 1 (Drosophila)	NDR
24	NDR1	AGC	NDR		STK38	STK38	serine/threonine kinase 38	NDR
25	NDR2	AGC	NDR		STK38L	STK38L	serine/threonine kinase 38 like	NDR
26	LATS2	AGC	NDR		LATS2	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	NDR
27	PDK1	AGC	PDK1		PDPK1	PDPK1	3-phosphoinositide dependent protein kinase-1	PDK1
28	PKACa	AGC	PKA		PRKACA	PRKACA	protein kinase, cAMP-dependent, catalytic, alpha	PKA
29	PKACb	AGC	PKA		PRKACB	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	PKA
30	PKACg	AGC	PKA		PRKACG	PRKACG	protein kinase, cAMP-dependent, catalytic, gamma	PKA
31	PRKX	AGC	PKA		PRKX	PRKX	protein kinase, X-linked	PKA
32	PRKY	AGC	PKA		PRKY	PRKY	protein kinase, Y-linked	PKA
33	PKCa	AGC	PKC	Alpha	PRKCA	PRKCA	protein kinase C, alpha	PKC_Alpha
34	PKCb	AGC	PKC	Alpha	PRKCB1	PRKCB	protein kinase C, beta 1	PKC_Alpha
35	PKCg	AGC	PKC	Alpha	PRKCG	PRKCG	protein kinase C, gamma	PKC_Alpha
36	PKCd	AGC	PKC	Delta	PRKCD	PRKCD	protein kinase C, delta	PKC_Delta
37	PKCt	AGC	PKC	Delta	PRKCQ	PRKCQ	protein kinase C, theta	PKC_Delta
38	PKCe	AGC	PKC	Eta	PRKCE	PRKCE	protein kinase C, epsilon	PKC_Eta
39	PKCh	AGC	PKC	Eta	PRKCH	PRKCH	protein kinase C, eta	PKC_Eta
40	PKCi	AGC	PKC	Iota	PRKCI	PRKCI	protein kinase C, iota	PKC_Iota
41	PKCz	AGC	PKC	Iota	PRKCZ	PRKCZ	protein kinase C, zeta	PKC_Iota
42	PKG1	AGC	PKG		PRKG1	PRKG1	protein kinase, cGMP-dependent, type I	PKG
43	PKG2	AGC	PKG		PRKG2	PRKG2	protein kinase, cGMP-dependent, type II	PKG
44	PKN1	AGC	PKN		PKN1	PKN1	protein kinase N1	PKN
45	PKN2	AGC	PKN		PKN2	PKN2	protein kinase N2	PKN
46	PKN3	AGC	PKN		PKN3	PKN3	protein kinase N3	PKN
47	MSK2	AGC	RSK	MSK	RPS6KA4	RPS6KA4	ribosomal protein S6 kinase, 90kDa, polypeptide 4	RSK_MSK
48	MSK1	AGC	RSK	MSK	RPS6KA5	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	RSK_MSK
49	p70S6K	AGC	RSK	p70	RPS6KB1	RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1	RSK_p70
50	p70S6Kb	AGC	RSK	p70	RPS6KB2	RPS6KB2	ribosomal protein S6 kinase, 70kDa, polypeptide 2	RSK_p70
51	RSK3	AGC	RSK	RSK	RPS6KA1	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	RSK_RSK
52	RSK1	AGC	RSK	RSK	RPS6KA2	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2	RSK_RSK
53	RSK2	AGC	RSK	RSK	RPS6KA3	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3	RSK_RSK
54	RSK4	AGC	RSK	RSK	RPS6KA6	RPS6KA6	ribosomal protein S6 kinase, 90kDa, polypeptide 6	RSK_RSK
55	RSKL1	AGC	RSKL		RPS6KC1	RPS6KC1	ribosomal protein S6 kinase, 52kDa, polypeptide 1	RSKL
56	RSKL2	AGC	RSKL		RPS6KL1	RPS6KL1	ribosomal protein S6 kinase-like 1	RSKL
57	SgK494	AGC	RSKR		FLJ25006	FLJ25006	hypothetical protein FLJ25006	RSKR
58	SGK1	AGC	SGK		SGK	SGK1	serum/glucocorticoid regulated kinase	SGK
59	SGK2	AGC	SGK		SGK2	SGK2	serum/glucocorticoid regulated kinase 2	SGK
60	SGK3	AGC	SGK		SGK3	SGK3	serum/glucocorticoid regulated kinase family, member 3	SGK
61	YANK2	AGC	YANK		STK32B	STK32B	serine/threonine kinase 32B	YANK
62	YANK1	AGC	YANK		STK32A	STK32A	serine/threonine kinase 32A	YANK
63	YANK3	AGC	YANK		STK32C	STK32C	serine/threonine kinase 32C	YANK
64	ADCK3	Atypical	ABC1	ABC1-A	CABC1	ADCK3	chaperone, ABC1 activity of bc1 complex homolog (S. pombe)	ABC1_ABC1-A
65	ADCK4	Atypical	ABC1	ABC1-A	ADCK4	ADCK4	aarF domain containing kinase 4	ABC1_ABC1-A
66	ADCK1	Atypical	ABC1	ABC1-B	ADCK1	ADCK1	aarF domain containing kinase 1	ABC1_ABC1-B
67	ADCK5	Atypical	ABC1	ABC1-B	ADCK5	ADCK5	aarF domain containing kinase 5	ABC1_ABC1-B
68	ADCK2	Atypical	ABC1	ABC1-C	ADCK2	ADCK2	aarF domain containing kinase 2	ABC1_ABC1-C
69	AlphaK1	Atypical	Alpha	Alpha-Unclassified	ALPK3	ALPK3	alpha-kinase 3	Alpha_Alpha-Unclassified
70	AlphaK3	Atypical	Alpha	Alpha-Unclassified	ALPK1	ALPK1	alpha-kinase 1	Alpha_Alpha-Unclassified
71	AlphaK2	Atypical	Alpha	Alpha-Unclassified	ALPK2	ALPK2	alpha-kinase 2	Alpha_Alpha-Unclassified
72	ChaK1	Atypical	Alpha	ChaK	TRPM7	TRPM7	transient receptor potential cation channel, subfamily M, member 7	Alpha_ChaK
73	ChaK2	Atypical	Alpha	ChaK	TRPM6	TRPM6	transient receptor potential cation channel, subfamily M, member 6	Alpha_ChaK
74	eEF2K	Atypical	Alpha	eEF2K	EEF2K	EEF2K	eukaryotic elongation factor-2 kinase	Alpha_eEF2K
75	BCR	Atypical	BCR		BCR	BCR	breakpoint cluster region	BCR
76	BRDT	Atypical	BRD		BRDT	BRDT	bromodomain, testis-specific	BRD
77	BRD2	Atypical	BRD		BRD2	BRD2	bromodomain containing 2	BRD
78	BRD3	Atypical	BRD		BRD3	BRD3	bromodomain containing 3	BRD
79	BRD4	Atypical	BRD		BRD4	BRD4	bromodomain containing 4	BRD
80	FASTK	Atypical	FAST		FASTK	FASTK	Fas-activated serine/threonine kinase	FAST
81	G11	Atypical	G11		STK19	STK19	serine/threonine kinase 19	G11
82	H11	Atypical	H11		HSPB8	HSPB8	heat shock 22kDa protein 8	H11
83	BCKDK	Atypical	PDHK	BCKDK	BCKDK	BCKDK	branched chain ketoacid dehydrogenase kinase	PDHK_BCKDK
84	PDHK1	Atypical	PDHK	PDHK	PDK1	PDK1	pyruvate dehydrogenase kinase, isozyme 1	PDHK_PDHK
85	PDHK2	Atypical	PDHK	PDHK	PDK2	PDK2	pyruvate dehydrogenase kinase, isozyme 2	PDHK_PDHK
86	PDHK3	Atypical	PDHK	PDHK	PDK3	PDK3	pyruvate dehydrogenase kinase, isozyme 3	PDHK_PDHK
87	PDHK4	Atypical	PDHK	PDHK	PDK4	PDK4	pyruvate dehydrogenase kinase, isozyme 4	PDHK_PDHK
88	ATM	Atypical	PIKK	ATM	ATM	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	PIKK_ATM
89	ATR	Atypical	PIKK	ATR	ATR	ATR	ataxia telangiectasia and Rad3 related	PIKK_ATR
90	DNAPK	Atypical	PIKK	DNAPK	PRKDC	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	PIKK_DNAPK
