refseq	name
NM_002749	MAPK7
NM_021806	FAM3A
NM_001204289	MUC1
NM_000600	IL6
NM_182962	BIRC3
NM_182948	PRKACB
NM_182958	KAT8
NM_183058	LYZL2
NM_183057	VPS28
NM_183050	BCKDHB
NM_183048	ZMYND8
NM_182947	ARHGEF25
NM_182925	FLT4
NM_183047	ZMYND8
NM_001142401	CD164
NM_016530	RAB8B
NM_016527	HAO2
NM_017951	SMPD4
NM_006367	CAP1
NM_006366	CAP2
NM_006365	C1orf61
NM_018317	TBC1D19
NM_001089591	UQCRHL
NM_001007259	SETD4
NM_001007257	PRDM2
NM_001007255	KLHDC9
NM_001039717	ABHD18
NM_001197181	TUBB3
NM_033089	ZCCHC3
NM_001054	SULT1A2
NM_001024957	BRMS1
NM_013448	BAZ1A
NM_001158261	CCDC42
NM_001156474	CCDC81
NM_052916	RNF157
NM_053013	ENO3
NM_001174128	SLC11A2
NM_021620	PRDM13
NM_001779	CD58
NM_001256240	PGAP2
NM_001042535	AGAP3
NM_001105579	SYNDIG1L
NM_001105578	SYCE2
NM_001118885	GLRA2
NM_001286709	GTF3C5
NM_001105513	TTC21A
NM_001039141	TRIOBP
NM_001042486	DLGAP4
NM_001098515	MRGPRF
NM_001130157	MLF1
NM_001130156	MLF1
NM_001130148	CCDC77
NM_001012993	C9orf152
NM_001012991	KNOP1
NM_001012985	COA6
NM_001012984	C16orf86
NM_001012981	ZKSCAN2
NM_001012979	TCEAL5
NM_001012980	SATL1
NM_001037729	DEFB113
NM_001079536	ART5
NM_001159295	ADAD1
NM_001114101	C1QC
NM_001114091	CDC27
NM_001282611	OLFM1
NM_001286692	RGS22
NM_145699	APOBEC3A
NM_145698	ACBD5
NM_145697	NUF2
NM_145695	DGKB
NM_152605	ZNF781
NM_152594	SPRED1
NM_152604	ZNF383
NM_152603	ZNF567
NM_152592	SYNE3
NM_170686	ZNF398
NM_145283	NXNL2
NM_022552	DNMT3A
NM_022551	RPS18
NM_022550	XRCC4
NM_054032	MRGPRX4
NM_003653	COPS3
NM_003818	CDS2
NM_004120	GBP2
NM_001278074	COL5A1
NM_003030	SHOX2
NM_003028	SHB
NM_002928	RGS16
NM_006210	PEG3
NM_130392	PTPRD
NM_002535	OAS2
NM_139009	HFE
NM_003306	TRPC4
NM_005783	TXNDC9
NM_005801	EIF1
NM_005791	MPHOSPH10
NM_007037	ADAMTS8
NM_005800	USPL1
NM_005788	PRMT3
NM_006351	TIMM44
NM_005785	RNF41
NM_001198569	ATP6V0C
NM_001083914	CTBP2
NM_001166348	SLC26A11
NM_001184837	ADGRG2
NM_001142933	CHAT
NM_001172509	SATB2
NM_001172504	SLC6A2
NM_001201459	ZNF513
NM_001201457	TEX14
NM_001201451	C7orf76
NM_001201450	C7orf76
NM_006443	DNPH1
NM_014155	ZBTB44
NM_014154	ARMC8
NM_014153	ZC3H7A
NM_014149	WDR91
NM_014146	LAT2
NM_014145	TMEM230
NM_014786	ARHGEF17
NM_014141	CNTNAP2
NM_001302646	COLCA1
NM_001099439	EPHA10
NM_001042492	NF1
NM_001128226	DIS3
NM_001173484	NEBL
NM_001173482	CRBN
NM_001173476	SPEG
NM_001173474	ASMTL
NM_001173474	ASMTL
NM_001173473	ASMTL
NM_001173473	ASMTL
NM_001173468	PDHB
NM_001173467	SP7
NM_001173466	AAAS
NM_004101	F2RL2
NM_001198614	MAP7
NM_001193483	LIMS1
NM_001197293	DPYSL2
NM_001197302	DKKL1
NM_032098	PCDHGB4
NM_001006946	SDC1
NM_001006945	LRIF1
