gene	rseq
ABCB8	NM_007188
ZNF410	NM_001242924
C7orf55	NM_197964
GLRX2	NM_016066
DPP8	NM_197960
HIF1AN	NM_017902
TPCN1	NM_001143819
AURKAIP1	NM_017900
MREG	NM_018000
NDUFB11	NM_019056
GPATCH11	NM_174931
ZMIZ2	NM_031449
CPS1	NM_001122633
MAGEB1	NM_002363
GSTA4	NM_001512
CNDP1	NM_032649
NRBF2	NM_030759
TINF2	NM_001099274
WDR76	NM_024908
ZNF408	NM_024741
ZDBF2	NM_020923
TNS4	NM_032865
TIGD5	NM_032862
FAM167B	NM_032648
IRF5	NM_001098629
RPL13	NM_000977
MEDAG	NM_032849
MID1	NM_000381
NFS1	NM_021100
EZH2	NM_004456
CADM3	NM_021189
POTEF	NM_001099771
OAS1	NM_001032409
NTSR1	NM_002531
NTRK3	NM_001012338
PGF	NM_002632
PGD	NM_002631
HIRIP3	NM_003609
TMSB4Y	NM_004202
RAD23B	NM_002874
SYN3	NM_003490
SUPT4H1	NM_003168
SULT2A1	NM_003167
UTS2R	NM_018949
HLA-F	NM_001098479
YY2	NM_206923
VWC2	NM_198570
MRPL55	NM_181462
RXFP1	NM_001253727
BTBD2	NM_017797
LIME1	NM_017806
GPSM1	NM_001145638
APOL1	NM_145343
AGPS	NM_003659
BARX2	NM_003658
CPZ	NM_001014447
WDR60	NM_018051
PAX2	NM_003990
LDLR	NM_000527
NDUFAF1	NM_016013
FAM135B	NM_015912
POSTN	NM_006475
RABL2B	NM_001130923
CPT1B	NM_004377
AGXT2L1	NM_031279
OPRM1	NM_001145279
RPS9	NM_001013
OPRK1	NM_000912
ZNF688	NM_145271
C16orf11	NM_145270
APOBEC3A	NM_145699
ACBD5	NM_145698
C7orf45	NM_145268
USP36	NM_025090
TCEAL3	NM_032926
ERBB2IP	NM_001253699
EME2	NM_001257370
KCNMA1	NM_001161352
LDLRAD4	NM_181481
ABHD10	NM_018394
KCNB2	NM_004770
FDPS	NM_002004
C20orf78	NM_001242671
SCNN1A	NM_001159576
CBX6	NM_014292
AMT	NM_000481
SNRK	NM_017719
MARK3	NM_001128918
VRK2	NM_006296
FGF8	NM_033163
CLOCK	NM_004898
RNF146	NM_001242849
